task,optimizer,budget,method,mean,std,count
linear,adam,8,alm,0.7887058180427446,0.03199257323527237,2
linear,adam,8,alm_bp_norm,0.796359593793836,0.029121154295203355,2
linear,adam,8,bp,0.8025082937453971,0.031127592439812085,2
linear,adam,8,bp_alm_norm,0.7890868212953639,0.032822380963880356,2
linear,adam,8,damped_alm,0.7886025420975502,0.031715618426005766,2
linear,adam,8,pc,0.7872600915395436,0.030775463354682116,2
linear,sgd,8,alm,1.1665898660906866,0.0081056540899906,2
linear,sgd,8,alm_bp_norm,1.079898571482695,0.00680043216119915,2
linear,sgd,8,bp,1.065550747067614,0.009008179716458382,2
linear,sgd,8,bp_alm_norm,1.1471147261162995,0.0057789126741752085,2
linear,sgd,8,damped_alm,1.1698649160737853,0.008666497022445556,2
linear,sgd,8,pc,1.1831704894439516,0.011124643871117971,2
nonlinear,adam,8,alm,0.07498758936557925,0.027721432756841934,2
nonlinear,adam,8,alm_bp_norm,0.08080831505406652,0.03322363245358605,2
nonlinear,adam,8,bp,0.07920136781704135,0.030134146526224127,2
nonlinear,adam,8,bp_alm_norm,0.07273818715537073,0.025221417236844373,2
nonlinear,adam,8,damped_alm,0.07473862754733705,0.02746103033845935,2
nonlinear,adam,8,pc,0.07325072828048028,0.026223368275538637,2
nonlinear,sgd,8,alm,0.3981898502403694,0.13837406933391538,2
nonlinear,sgd,8,alm_bp_norm,0.26783599250949464,0.07960003022551265,2
nonlinear,sgd,8,bp,0.2740762512520948,0.08629891976162907,2
nonlinear,sgd,8,bp_alm_norm,0.3877499214835961,0.13196949673961125,2
nonlinear,sgd,8,damped_alm,0.40393182397374905,0.14048545129771958,2
nonlinear,sgd,8,pc,0.42648426443976467,0.14870336699308526,2
