task,optimizer,seed,method,budget,epochs,initial_mse,validation_mse,test_mse,seconds,status
nonlinear,adam,2100,bp,8,10,0.36774682348426707,0.05861357209718402,0.057893308463079225,0.015623659004631918,ok
nonlinear,adam,2100,pc,8,10,0.36774682348426707,0.05575334881463654,0.05470800674729472,0.09204141800000798,ok
nonlinear,adam,2100,alm,8,10,0.36774682348426707,0.056435057231730874,0.05538557627900944,0.09154956199927256,ok
nonlinear,adam,2100,alm_bp_norm,8,10,0.36774682348426707,0.05837186652117421,0.05731565925048638,0.09687613599817269,ok
nonlinear,adam,2100,bp_alm_norm,8,10,0.36774682348426707,0.05558136981533065,0.054903951996062794,0.09268083799543092,ok
nonlinear,adam,2100,damped_alm,8,10,0.36774682348426707,0.056375038717830984,0.05532074677664293,0.08848513800330693,ok
nonlinear,adam,2101,bp,8,10,0.6054918221153945,0.09746907229552303,0.10050942717100347,0.015026604000013322,ok
nonlinear,adam,2101,pc,8,10,0.6054918221153945,0.08894420655102946,0.09179344981366583,0.09108192100393353,ok
nonlinear,adam,2101,alm,8,10,0.6054918221153945,0.0915122971726572,0.09458960245214908,0.095518781003193,ok
nonlinear,adam,2101,alm_bp_norm,8,10,0.6054918221153945,0.10144638785255665,0.10430097085764667,0.09750315600103932,ok
nonlinear,adam,2101,bp_alm_norm,8,10,0.6054918221153945,0.08726261324980711,0.09057242231467866,0.0983053279996966,ok
nonlinear,adam,2101,damped_alm,8,10,0.6054918221153945,0.0910925627043268,0.09415650831803117,0.09028990299702855,ok
nonlinear,sgd,2100,bp,8,10,0.36774682348426707,0.22591493400501692,0.2130536998795731,0.01173915700201178,ok
nonlinear,sgd,2100,pc,8,10,0.36774682348426707,0.33621273354056685,0.32133510525368225,0.08886753099795897,ok
nonlinear,sgd,2100,alm,8,10,0.36774682348426707,0.3146115888502812,0.30034460747398034,0.08786506900651148,ok
nonlinear,sgd,2100,alm_bp_norm,8,10,0.36774682348426707,0.22296013898838232,0.2115502713543805,0.09108354299678467,ok
nonlinear,sgd,2100,bp_alm_norm,8,10,0.36774682348426707,0.30963499487557195,0.294433395429241,0.08856298499449622,ok
nonlinear,sgd,2100,damped_alm,8,10,0.36774682348426707,0.31895543403976756,0.3045936087030791,0.08438739599660039,ok
nonlinear,sgd,2101,bp,8,10,0.6054918221153945,0.35024249154491743,0.33509880262461644,0.011717754998244345,ok
nonlinear,sgd,2101,pc,8,10,0.6054918221153945,0.5736572966891699,0.5316334236258471,0.08673466499749338,ok
nonlinear,sgd,2101,alm,8,10,0.6054918221153945,0.5339620184965739,0.49603509300675847,0.08983825600444106,ok
nonlinear,sgd,2101,alm_bp_norm,8,10,0.6054918221153945,0.34066942976031783,0.3241217136646088,0.0907722760020988,ok
nonlinear,sgd,2101,bp_alm_norm,8,10,0.6054918221153945,0.5143605417432001,0.4810664475379512,0.08935103799740318,ok
nonlinear,sgd,2101,damped_alm,8,10,0.6054918221153945,0.5420468850478247,0.503270039244419,0.085133793996647,ok
linear,adam,2100,bp,8,10,1.2059802664538586,0.7997742894142155,0.8245188254415993,0.015627545006282162,ok
linear,adam,2100,pc,8,10,1.2059802664538586,0.7818725933140639,0.8090216303717973,0.09223624100559391,ok
linear,adam,2100,alm,8,10,1.2059802664538586,0.7837624416365271,0.8113279835250129,0.0897661290000542,ok
linear,adam,2100,alm_bp_norm,8,10,1.2059802664538586,0.7892015565657585,0.8169513594719541,0.09381053999823052,ok
linear,adam,2100,bp_alm_norm,8,10,1.2059802664538586,0.7884020906580812,0.812295749449612,0.09621658799733268,ok
linear,adam,2100,damped_alm,8,10,1.2059802664538586,0.7835069154724708,0.811028870956104,0.08746717299800366,ok
linear,adam,2101,bp,8,10,1.233520557596167,0.779406766924466,0.7804977620491949,0.015006995003204793,ok
linear,adam,2101,pc,8,10,1.233520557596167,0.7690575765843347,0.7654985527072897,0.09128163999412209,ok
linear,adam,2101,alm,8,10,1.233520557596167,0.7705345846801194,0.7660836525604763,0.09158182000101078,ok
linear,adam,2101,alm_bp_norm,8,10,1.233520557596167,0.7787095105854859,0.775767828115718,0.09527497599628987,ok
linear,adam,2101,bp_alm_norm,8,10,1.233520557596167,0.7656970724872475,0.7658778931411159,0.09245436800119933,ok
linear,adam,2101,damped_alm,8,10,1.233520557596167,0.7704873406337281,0.7661762132389965,0.08662822400219738,ok
linear,sgd,2100,bp,8,10,1.2059802664538586,1.0461496059644462,1.0719204920312688,0.011811215001216624,ok
linear,sgd,2100,pc,8,10,1.2059802664538586,1.1500552796956314,1.175304178324399,0.08916252299968619,ok
linear,sgd,2100,alm,8,10,1.2059802664538586,1.135262348609358,1.1608583031177018,0.0892091529967729,ok
