task,seed,method,budget,hidden_cosine,all_cosine,residual
linear,1200,pc,1,0.7942741928232975,0.5331382874557944,0.03929231758507396
linear,1200,pc,2,0.8052771496408567,0.548735468435617,0.06835137139850618
linear,1200,pc,4,0.8139182955373053,0.5224834945195125,0.10822793308473272
linear,1200,pc,8,0.8040066071602627,0.4312409273195221,0.15304032603563308
linear,1200,pc,16,0.7612520712444601,0.3277421617944831,0.1955472412616459
linear,1200,pc,32,0.6952011059884887,0.25179268688578904,0.2317631151699132
linear,1201,pc,1,0.8125214328015297,0.5901028944586483,0.03623138461783786
linear,1201,pc,2,0.8220764808061214,0.6029476911030637,0.06399621983525397
linear,1201,pc,4,0.8292589567799424,0.572726293271763,0.10333482451641401
linear,1201,pc,8,0.8205256853469642,0.47298908713537297,0.1482511368044663
linear,1201,pc,16,0.7875867374591995,0.3699121468632653,0.1887048596918295
linear,1201,pc,32,0.7365171110622133,0.29793963526998174,0.22002463399190095
linear,1202,pc,1,0.8670009804564062,0.6029577633764442,0.046706989085507904
linear,1202,pc,2,0.8727659943450764,0.634320694890637,0.07933428845933442
linear,1202,pc,4,0.8709286507955216,0.6434230172828568,0.1205796210046638
linear,1202,pc,8,0.8433992141119395,0.5747195166818527,0.16082091993874953
linear,1202,pc,16,0.7839126047703773,0.4463585253839937,0.19357033158616166
linear,1202,pc,32,0.703210616653367,0.33084962640624516,0.2206250538607903
linear,1203,pc,1,0.8266927455286666,0.45851079063726147,0.040997192291843294
linear,1203,pc,2,0.8346853826557872,0.5039687405356408,0.06777842732946136
linear,1203,pc,4,0.8347424407376656,0.5349046202978828,0.10071487213425492
linear,1203,pc,8,0.8108037407943226,0.5104957670719386,0.13541054532854413
linear,1203,pc,16,0.7615738409213075,0.44242279073199603,0.16936313355715713
linear,1203,pc,32,0.7052726887047229,0.37726638121374734,0.199344167194251
linear,1204,pc,1,0.8581219975034723,0.5829196294875653,0.048467948142843206
linear,1204,pc,2,0.864921319149911,0.5871774218988858,0.08328755825256078
linear,1204,pc,4,0.8677985655582788,0.5451399446215258,0.12867615914365915
linear,1204,pc,8,0.8541134354827133,0.4782668363229557,0.17452549038633536
linear,1204,pc,16,0.8189870505344002,0.41061937523558295,0.21157959534287174
linear,1204,pc,32,0.7704045176283213,0.34109870316347823,0.23939167530818894
linear,1205,pc,1,0.871221573688607,0.4806858308450154,0.040996342298679975
linear,1205,pc,2,0.8771155329388571,0.5252352923912151,0.07106569750493465
linear,1205,pc,4,0.878875226634604,0.5384436756057126,0.11156266874375724
linear,1205,pc,8,0.8650158525007737,0.49800616697622035,0.1549319713158293
linear,1205,pc,16,0.8311641047152387,0.43180459402942245,0.1920690374221193
linear,1205,pc,32,0.781987359019465,0.36629407464861263,0.22020539648001078
linear,1206,pc,1,0.8140226196018733,0.5218570808266418,0.04143214795020732
linear,1206,pc,2,0.8236029855350909,0.5410520110262165,0.0715457406852723
linear,1206,pc,4,0.8299672691588077,0.5162526609077837,0.11162895882335251
linear,1206,pc,8,0.8192860928157271,0.44745223499025455,0.1537641815687112
linear,1206,pc,16,0.7864387166084175,0.369362964166286,0.1896188777987779
linear,1206,pc,32,0.7418650493451424,0.30501423419676477,0.2182110313469957
linear,1207,pc,1,0.8510586831306961,0.5582110956612888,0.037979715994232936
linear,1207,pc,2,0.8585688048231042,0.5877323999002445,0.06667447319973173
linear,1207,pc,4,0.8642435847118554,0.5996094157227065,0.10632859229984556
linear,1207,pc,8,0.8563933958437603,0.5660916880760032,0.14922956036044613
linear,1207,pc,16,0.8250800715196399,0.49118610650738725,0.18511084387698495
linear,1207,pc,32,0.7791152197674396,0.4040678124620363,0.21157691852636853
linear,1208,pc,1,0.8402048154689288,0.5174205873358999,0.040288807523043056
linear,1208,pc,2,0.8476096047927019,0.5549152206252289,0.06763458711337977
linear,1208,pc,4,0.851132453636141,0.5747329163414537,0.10291642768614596
linear,1208,pc,8,0.8456980476494598,0.5279427388297568,0.1411703789695167
linear,1208,pc,16,0.8289053620108222,0.44616900049678826,0.17556608054976056
linear,1208,pc,32,0.7921336114562302,0.3720705328769223,0.20212373615331106
linear,1209,pc,1,0.8711634062385344,0.5513674139622856,0.051463118896150184
linear,1209,pc,2,0.8774071945741132,0.5571198096492508,0.08475502944733189
linear,1209,pc,4,0.8790992394427194,0.5558703359217635,0.12330262167407009
linear,1209,pc,8,0.8595132251191466,0.5283461562236511,0.15885106096318977
linear,1209,pc,16,0.8083670359567082,0.44956977050325136,0.19069125366687473
linear,1209,pc,32,0.7408583623316051,0.36477840209484497,0.21861387133362586
linear,1210,pc,1,0.895044956133188,0.6113099728397074,0.03237720647735627
linear,1210,pc,2,0.8997669657494201,0.6414606363185009,0.05778726863956955
linear,1210,pc,4,0.9015499975660227,0.6448943060491374,0.09472993128883818
linear,1210,pc,8,0.8884457073610448,0.5761490979744655,0.13811626345304753
linear,1210,pc,16,0.8459658062081229,0.4736869153412112,0.17788358264634974
linear,1210,pc,32,0.7830408881146387,0.3837429942132268,0.2089705729416969
linear,1211,pc,1,0.7181415919720657,0.583185065516401,0.03728947260158179
linear,1211,pc,2,0.7348299088558509,0.5933139729164904,0.06483598252336303
linear,1211,pc,4,0.7517456817589258,0.558533109662805,0.10223935976970702
linear,1211,pc,8,0.7534384536998856,0.46296558359182743,0.14192271088778943
linear,1211,pc,16,0.7315514925468354,0.3798178855177456,0.1738691765280751
linear,1211,pc,32,0.6934655425515703,0.32300899843631914,0.19646890725614577
linear,1212,pc,1,0.909407668533437,0.5347600692504628,0.038687839903534145
linear,1212,pc,2,0.9117660959902771,0.5779756700758099,0.06660278612177727
linear,1212,pc,4,0.9004749632146707,0.5976206375410537,0.10459595523710127
linear,1212,pc,8,0.8534292207030102,0.5496621848494305,0.1483006721462511
linear,1212,pc,16,0.7802334485970188,0.45556645134682067,0.18988647199831232
linear,1212,pc,32,0.708994558050641,0.3613591761489765,0.22172165603474328
linear,1213,pc,1,0.7901560781946725,0.4941075634464769,0.04601208405457026
linear,1213,pc,2,0.8007283072939635,0.5252025396289582,0.07682320281465882
linear,1213,pc,4,0.8006531904771045,0.5328684329507283,0.11485866550548178
linear,1213,pc,8,0.7618601864692747,0.4804636670526551,0.15367817687541677
linear,1213,pc,16,0.699718459613792,0.39541946079750734,0.18877146781481213
linear,1213,pc,32,0.6514295379195749,0.3263030880014299,0.21700697533040259
linear,1214,pc,1,0.8381285888011052,0.5418525480551268,0.035816836709680284
linear,1214,pc,2,0.8459454823859486,0.5697357162664588,0.06213350864832318
linear,1214,pc,4,0.8492767054346393,0.5715840389759501,0.09815291710434863
linear,1214,pc,8,0.8339741116086582,0.5244427082644486,0.13859214542112713
linear,1214,pc,16,0.797086634762484,0.46084934799470334,0.17552661866005104
linear,1214,pc,32,0.7496293465065149,0.4019851518088681,0.20382443735945008
linear,1215,pc,1,0.7961693964104524,0.5818359012106953,0.03948795998245587
linear,1215,pc,2,0.8059134505525003,0.5869853778143489,0.06818163581201968
linear,1215,pc,4,0.8073859576859768,0.5583291313963565,0.1066932038122841
linear,1215,pc,8,0.7836597953187455,0.4798147189425313,0.14838756032654912
linear,1215,pc,16,0.7375769434785643,0.38527481142345066,0.18526640017544257
linear,1215,pc,32,0.6854322682933911,0.305941795489527,0.21396183243096267
linear,1216,pc,1,0.8209956615296524,0.568341278551496,0.04585637202055077
linear,1216,pc,2,0.8300144361805993,0.5872877871832427,0.07823671830262445
linear,1216,pc,4,0.8315500842065155,0.5486697922090339,0.1194063678374119
linear,1216,pc,8,0.7969181953468296,0.45146078487069646,0.1592860240612268
linear,1216,pc,16,0.7201330464590988,0.35738273935553067,0.19095880988895736
linear,1216,pc,32,0.6378774167732757,0.28323085337973175,0.2165917818780945
linear,1217,pc,1,0.8378644739263035,0.538298977615621,0.038933826110373444
linear,1217,pc,2,0.8462050225183209,0.5599118570918732,0.06741943316331116
linear,1217,pc,4,0.8520701069943266,0.5488337184775539,0.10557008013033806
linear,1217,pc,8,0.8423099251875046,0.4960995054556005,0.14581269015914464
linear,1217,pc,16,0.8040085282968636,0.41794948402318327,0.18027474123137613
linear,1217,pc,32,0.7416515035930155,0.33026868787940566,0.20837405305734383
linear,1218,pc,1,0.867261213339393,0.6242360600043746,0.03883232364853416
linear,1218,pc,2,0.8736315415979173,0.6399996009593076,0.0679127973461762
linear,1218,pc,4,0.8771395184552855,0.6165457621763388,0.10790133075432128
linear,1218,pc,8,0.8657120435429966,0.5380899535392193,0.1515128670825927
linear,1218,pc,16,0.8295593423561964,0.4475865438939974,0.18916327814626394
linear,1218,pc,32,0.7758021937599228,0.36739003506928447,0.21765491229376732
linear,1219,pc,1,0.8723126247853803,0.5453045687403095,0.04312382973043669
linear,1219,pc,2,0.8776332646588055,0.5830190460316801,0.07396502829213597
linear,1219,pc,4,0.875140346358536,0.5967812718607121,0.11430554421326267
linear,1219,pc,8,0.8490762691079338,0.5535503366085665,0.15566760264227708
linear,1219,pc,16,0.7978959739113713,0.47348653631523163,0.1893354836450715
linear,1219,pc,32,0.7356520902618786,0.3889457256320569,0.21431219866945803
linear,1200,pcalm,1,0.7942741928232975,0.5331382874557944,0.03929231758507396
linear,1200,pcalm,2,0.806439648449856,0.5608474234678155,0.06763439488219321
linear,1200,pcalm,4,0.8191332204133873,0.5807561113417133,0.10353916448771047
linear,1200,pcalm,8,0.8202976709973607,0.5928144038333635,0.1324672205190557
linear,1200,pcalm,16,0.7980339854119037,0.6414700476411783,0.13249748856094098
linear,1200,pcalm,32,0.8332753851315103,0.773010492912771,0.09479203454614023
linear,1201,pcalm,1,0.8125214328015297,0.5901028944586483,0.03623138461783786
linear,1201,pcalm,2,0.8230425815721438,0.6129907304106169,0.06332526680685815
linear,1201,pcalm,4,0.8331042249167467,0.6237536272447155,0.09876582301539803
linear,1201,pcalm,8,0.8301089692266909,0.623890306667063,0.127861596368766
linear,1201,pcalm,16,0.8112348627619371,0.66622909755666,0.1285625288135676
linear,1201,pcalm,32,0.8602717969894168,0.7917550694535569,0.0947635787920307
linear,1202,pcalm,1,0.8670009804564062,0.6029577633764442,0.046706989085507904
linear,1202,pcalm,2,0.8732362016263377,0.6464293024279207,0.07836586426780263
linear,1202,pcalm,4,0.8713934520216686,0.6984684697916064,0.11472494842190689
