pre,post,synapses,pre_layer,post_layer
31440,10082,928,2,2
10098,10115,878,2,2
10231,13271,849,0,1
22607,10353,737,2,1
13271,11367,727,1,1
10082,11654,589,2,1
10719,11367,566,1,1
10421,10364,556,1,1
12323,10247,545,2,3
11133,10001,537,3,3
10480,13271,490,0,1
10353,11654,488,1,1
12018,10719,483,2,1
10998,10247,480,2,3
12262,10131,478,2,3
10494,10234,478,2,3
47042,10247,469,2,3
10879,10558,468,1,3
10998,10131,468,2,3
11240,523512,466,2,1
10476,523528,461,0,1
10353,22607,459,1,2
11654,10353,458,1,1
10297,10584,449,2,3
21568,10558,435,1,3
10172,10364,429,1,1
10372,13125,427,0,1
11240,10421,419,2,1
22607,523672,410,2,2
12262,10247,404,2,3
12215,10082,404,1,2
11927,10115,403,1,2
12018,10353,403,2,1
12018,21568,401,2,1
11367,12018,396,1,2
11367,13271,393,1,1
14551,10353,390,2,1
11601,13080,386,1,1
10172,10234,380,1,3
10558,10247,372,3,3
10998,12262,368,2,2
10372,13367,367,0,1
12323,10131,367,2,3
10445,520606,367,0,1
11240,10172,364,2,1
10364,11240,364,1,2
47042,10131,361,2,3
12507,21568,359,2,1
10445,10364,354,0,1
10372,13080,347,0,1
10579,555383,346,0,2
21568,11367,340,1,1
11675,10082,339,2,2
10234,10247,336,3,3
11601,10353,334,1,1
10297,10283,329,2,3
25772,11367,328,0,1
13111,11601,327,2,1
10719,10082,327,1,2
11118,10056,326,2,3
11118,10045,325,2,3
523672,11532,322,2,1
523385,10115,317,2,2
12769,10082,317,2,2
14551,10719,316,2,1
12262,10998,311,2,2
11601,12423,310,1,1
10398,12276,310,0,1
523672,10898,309,2,1
13080,10719,309,1,1
22607,11883,307,2,1
10494,10228,306,2,3
10297,10923,305,2,3
10421,10115,300,1,2
10719,10558,300,1,3
22607,12262,297,2,2
12276,10421,293,1,1
10579,12276,292,0,1
21568,12018,288,1,2
10329,10056,288,2,3
10867,10558,281,2,3
10867,10584,281,2,3
555383,10228,279,2,3
10896,10867,279,0,2
12215,10001,278,1,3
10172,11240,277,1,2
10558,10131,277,3,3
10896,13080,276,0,1
10421,10234,276,1,3
524521,10583,275,1,2
11018,10172,272,1,1
10353,14789,271,1,1
11727,10879,270,2,1
