task,seed,method,epoch,validation_mse
linear,1200,bp,1,1.0103551607142878
linear,1200,bp,2,0.8919405614755457
linear,1200,bp,3,0.8262292639236901
linear,1200,bp,4,0.7768547793918322
linear,1200,bp,5,0.7347676575052461
linear,1200,bp,6,0.6978856400513748
linear,1200,bp,7,0.6638100353687365
linear,1200,bp,8,0.6340456788263741
linear,1200,bp,9,0.6080958481199117
linear,1200,bp,10,0.5887284494971913
linear,1200,bp,11,0.5741616410265903
linear,1200,bp,12,0.5618344057452626
linear,1200,bp,13,0.550781891365013
linear,1200,bp,14,0.5403957281192073
linear,1200,bp,15,0.5308421373777777
linear,1200,bp,16,0.5214891755483994
linear,1200,bp,17,0.5126970087966453
linear,1200,bp,18,0.5051129907566421
linear,1200,bp,19,0.49760286423899763
linear,1200,bp,20,0.4886122531213644
linear,1200,bp,21,0.4803733724500083
linear,1200,bp,22,0.4713821430803944
linear,1200,bp,23,0.46433521784824333
linear,1200,bp,24,0.45754911431763284
linear,1200,bp,25,0.45259995987481455
linear,1200,bp,26,0.448470008535313
linear,1200,bp,27,0.44448833301006835
linear,1200,bp,28,0.43878597503255623
linear,1200,bp,29,0.43676921952391273
linear,1200,bp,30,0.43248351569918064
linear,1200,bp,31,0.4280151563772676
linear,1200,bp,32,0.4240654958350445
linear,1200,bp,33,0.42364237610490524
linear,1200,bp,34,0.419388813999
linear,1200,bp,35,0.41645474387446385
linear,1200,bp,36,0.4131003837762183
linear,1200,bp,37,0.411012091570748
linear,1200,bp,38,0.4078363074931164
linear,1200,bp,39,0.40758399469158135
linear,1200,bp,40,0.40386037586152684
linear,1200,bp,41,0.4011958665183779
linear,1200,bp,42,0.40061523166864044
linear,1200,bp,43,0.3981531164065033
linear,1200,bp,44,0.3957172057149807
linear,1200,bp,45,0.3946697801345041
linear,1200,bp,46,0.39256849951132744
linear,1200,bp,47,0.3909527286224612
linear,1200,bp,48,0.38993303399379825
linear,1200,bp,49,0.38666649256702296
linear,1200,bp,50,0.38677413521799336
linear,1200,bp,51,0.38584162124819255
linear,1200,bp,52,0.38255767527940154
linear,1200,bp,53,0.381561320164882
linear,1200,bp,54,0.3787147958123532
linear,1200,bp,55,0.37557416149132533
linear,1200,bp,56,0.373756530114888
linear,1200,bp,57,0.37258520932447986
linear,1200,bp,58,0.3682397918359534
linear,1200,bp,59,0.3669251870524033
linear,1200,bp,60,0.36418707609194084
linear,1201,bp,1,1.0008637683476114
linear,1201,bp,2,0.903364034028535
linear,1201,bp,3,0.8542027600836738
linear,1201,bp,4,0.8183524903077531
linear,1201,bp,5,0.7857512213587108
linear,1201,bp,6,0.7557995448667642
linear,1201,bp,7,0.7280914837175675
linear,1201,bp,8,0.7029102047258938
linear,1201,bp,9,0.6805136770754266
linear,1201,bp,10,0.6576122919811889
linear,1201,bp,11,0.6381323534431959
linear,1201,bp,12,0.6205888059872701
linear,1201,bp,13,0.6084225404150841
linear,1201,bp,14,0.5928500167202083
linear,1201,bp,15,0.5833496725966753
linear,1201,bp,16,0.5700477533627089
linear,1201,bp,17,0.5624125456386897
linear,1201,bp,18,0.5508055931557317
linear,1201,bp,19,0.541971082241503
linear,1201,bp,20,0.5328765249490637
linear,1201,bp,21,0.524661276960634
linear,1201,bp,22,0.5157110309956173
linear,1201,bp,23,0.5098888542274045
linear,1201,bp,24,0.5017444757736045
linear,1201,bp,25,0.49507291403223436
linear,1201,bp,26,0.4895975030610542
linear,1201,bp,27,0.4828381093766187
linear,1201,bp,28,0.47760255712863886
linear,1201,bp,29,0.47354356980291507
linear,1201,bp,30,0.46753206513953827
linear,1201,bp,31,0.4650944303977032
linear,1201,bp,32,0.4604967009904534
linear,1201,bp,33,0.45716392075785656
linear,1201,bp,34,0.4547796948086196
linear,1201,bp,35,0.4507768050283394
linear,1201,bp,36,0.4500772201817184
linear,1201,bp,37,0.4453692463146346
linear,1201,bp,38,0.44372437154018424
linear,1201,bp,39,0.440757025179612
linear,1201,bp,40,0.4376577348509425
linear,1201,bp,41,0.43695452478142166
linear,1201,bp,42,0.43397465128119644
linear,1201,bp,43,0.4332330835647054
linear,1201,bp,44,0.4318050863194181
linear,1201,bp,45,0.43031929644210204
linear,1201,bp,46,0.42998069847651116
linear,1201,bp,47,0.42603623825155595
linear,1201,bp,48,0.4256217504192617
linear,1201,bp,49,0.42502368457546286
linear,1201,bp,50,0.4228314747588176
linear,1201,bp,51,0.42280127783721255
linear,1201,bp,52,0.4222789532848202
linear,1201,bp,53,0.4194993107747993
linear,1201,bp,54,0.41841546136667335
linear,1201,bp,55,0.418507200365369
linear,1201,bp,56,0.41764165061466835
linear,1201,bp,57,0.41728645427899497
linear,1201,bp,58,0.4150298540593385
linear,1201,bp,59,0.4168419713454097
linear,1201,bp,60,0.4136659857746585
linear,1202,bp,1,1.0660305334420601
linear,1202,bp,2,0.9297680657646756
linear,1202,bp,3,0.853373300127239
linear,1202,bp,4,0.8059016002668661
linear,1202,bp,5,0.7649608694700304
linear,1202,bp,6,0.7284040916790685
linear,1202,bp,7,0.6975172035034026
linear,1202,bp,8,0.671526221115942
linear,1202,bp,9,0.6469442422687472
linear,1202,bp,10,0.6247616648623243
linear,1202,bp,11,0.6055456181294042
linear,1202,bp,12,0.5882230111790548
linear,1202,bp,13,0.5745003259617948
linear,1202,bp,14,0.5620025407559612
linear,1202,bp,15,0.5499521427357442
linear,1202,bp,16,0.5384984438164994
linear,1202,bp,17,0.5265754779047008
linear,1202,bp,18,0.5165610305818245
linear,1202,bp,19,0.5069884579087253
linear,1202,bp,20,0.49855265147452305
linear,1202,bp,21,0.4885088744139401
linear,1202,bp,22,0.48096663707749715
linear,1202,bp,23,0.4719540360768491
linear,1202,bp,24,0.46429261870649857
linear,1202,bp,25,0.45807911621651387
linear,1202,bp,26,0.45150500003501853
linear,1202,bp,27,0.4456331622465408
linear,1202,bp,28,0.43973340856313065
linear,1202,bp,29,0.4348495457761552
linear,1202,bp,30,0.43122886449199305
linear,1202,bp,31,0.42549540302056704
linear,1202,bp,32,0.4223536598623965
linear,1202,bp,33,0.41881934890008105
linear,1202,bp,34,0.41513618425899895
linear,1202,bp,35,0.4117836301036741
linear,1202,bp,36,0.4078308659277619
linear,1202,bp,37,0.4046392037703206
linear,1202,bp,38,0.40337253014937563
linear,1202,bp,39,0.40050154144523936
linear,1202,bp,40,0.3976288988058167
linear,1202,bp,41,0.39506044465823226
linear,1202,bp,42,0.3927628677920936
linear,1202,bp,43,0.3916852487950913
linear,1202,bp,44,0.38827513695835086
linear,1202,bp,45,0.3869820650331131
linear,1202,bp,46,0.38545576868742176
linear,1202,bp,47,0.3833412788446339
linear,1202,bp,48,0.3813333467740853
linear,1202,bp,49,0.38028887523074967
linear,1202,bp,50,0.378350794641511
linear,1202,bp,51,0.37635376230601797
linear,1202,bp,52,0.37734346136794467
linear,1202,bp,53,0.37418846561489855
linear,1202,bp,54,0.373338784451714
linear,1202,bp,55,0.3716946424464929
linear,1202,bp,56,0.3702549290846419
linear,1202,bp,57,0.3703888739144978
linear,1202,bp,58,0.3687796118528353
linear,1202,bp,59,0.36616656040216505
linear,1202,bp,60,0.3655690233462689
linear,1203,bp,1,0.9454269647350785
linear,1203,bp,2,0.854425017606062
linear,1203,bp,3,0.7960815209534537
linear,1203,bp,4,0.7501262987954599
linear,1203,bp,5,0.7131492774028635
linear,1203,bp,6,0.6819252254296623
linear,1203,bp,7,0.6558736875841579
linear,1203,bp,8,0.6314278067767637
linear,1203,bp,9,0.6092760058875414
linear,1203,bp,10,0.5905742139830709
linear,1203,bp,11,0.5752565518571698
linear,1203,bp,12,0.5607568647270248
linear,1203,bp,13,0.547741186094848
linear,1203,bp,14,0.5353065280635152
linear,1203,bp,15,0.522189315566818
linear,1203,bp,16,0.5120289519741262
linear,1203,bp,17,0.5005422449232824
linear,1203,bp,18,0.4921901158298432
linear,1203,bp,19,0.4863268481846958
linear,1203,bp,20,0.4802174475588932
linear,1203,bp,21,0.47260800493047633
linear,1203,bp,22,0.466636110793534
linear,1203,bp,23,0.4622503060396261
linear,1203,bp,24,0.4565150227026396
linear,1203,bp,25,0.4509483856356861
linear,1203,bp,26,0.4473618209237416
linear,1203,bp,27,0.44457005210753114
linear,1203,bp,28,0.4414272519504841
linear,1203,bp,29,0.43742774080176333
linear,1203,bp,30,0.43546994368622105
linear,1203,bp,31,0.43253201662423774
linear,1203,bp,32,0.4285595164036648
linear,1203,bp,33,0.42847714699077244
