task,seed,method,lr,eta,alpha,validation_mse,runtime_seconds,residual
nonlinear,1100,bp,0.0001,0.1,0.0,0.26705326716319927,0.12552335900181788,0.0
nonlinear,1101,bp,0.0001,0.1,0.0,0.2710819689570235,0.14419210800042492,0.0
nonlinear,1102,bp,0.0001,0.1,0.0,0.2496361258852963,0.12880954400316114,0.0
nonlinear,1103,bp,0.0001,0.1,0.0,0.34425181455796555,0.1357611489984265,0.0
nonlinear,1104,bp,0.0001,0.1,0.0,0.18924738309519376,0.16355472199938959,0.0
nonlinear,1100,bp,0.0003,0.1,0.0,0.12139852964569091,0.12219467799877748,0.0
nonlinear,1101,bp,0.0003,0.1,0.0,0.1438629281314168,0.12145595699985279,0.0
nonlinear,1102,bp,0.0003,0.1,0.0,0.12068896927298227,0.12165124700186425,0.0
nonlinear,1103,bp,0.0003,0.1,0.0,0.169725404099661,0.12093334399833111,0.0
nonlinear,1104,bp,0.0003,0.1,0.0,0.09805505420585564,0.12611610699968878,0.0
nonlinear,1100,bp,0.0005,0.1,0.0,0.06876077934315887,0.12109536699790624,0.0
nonlinear,1101,bp,0.0005,0.1,0.0,0.09075627790018881,0.12175713299802737,0.0
nonlinear,1102,bp,0.0005,0.1,0.0,0.07509329561465516,0.12098748299831641,0.0
nonlinear,1103,bp,0.0005,0.1,0.0,0.10841232710611758,0.13580724200073746,0.0
nonlinear,1104,bp,0.0005,0.1,0.0,0.06656845233976644,0.14208312000118895,0.0
nonlinear,1100,bp,0.001,0.1,0.0,0.03313467736867708,0.14045663999786484,0.0
nonlinear,1101,bp,0.001,0.1,0.0,0.04542491198012968,0.1261693650012603,0.0
nonlinear,1102,bp,0.001,0.1,0.0,0.03685136605719149,0.12954648500090116,0.0
nonlinear,1103,bp,0.001,0.1,0.0,0.050159076226544974,0.132328741998208,0.0
nonlinear,1104,bp,0.001,0.1,0.0,0.03715332370994422,0.1303151380016061,0.0
nonlinear,1100,bp,0.002,0.1,0.0,0.016741718358237095,0.1427137020000373,0.0
nonlinear,1101,bp,0.002,0.1,0.0,0.02335425486494759,0.13663446799910162,0.0
nonlinear,1102,bp,0.002,0.1,0.0,0.017961385117700974,0.12374994600031641,0.0
nonlinear,1103,bp,0.002,0.1,0.0,0.02462088411039133,0.1249419769992528,0.0
nonlinear,1104,bp,0.002,0.1,0.0,0.018049447151014364,0.12396463699769811,0.0
nonlinear,1100,bp,0.003,0.1,0.0,0.010400485184942522,0.13813509800093016,0.0
nonlinear,1101,bp,0.003,0.1,0.0,0.016838003742268303,0.125399650001782,0.0
nonlinear,1102,bp,0.003,0.1,0.0,0.011269144438489245,0.13999175500066485,0.0
nonlinear,1103,bp,0.003,0.1,0.0,0.018292715010235248,0.12540990599882207,0.0
nonlinear,1104,bp,0.003,0.1,0.0,0.011606126645534835,0.1560872609989019,0.0
nonlinear,1100,bp,0.006,0.1,0.0,0.005352803982660411,0.13565427499997895,0.0
nonlinear,1101,bp,0.006,0.1,0.0,0.0096815941102318,0.12645536700074445,0.0
nonlinear,1102,bp,0.006,0.1,0.0,0.005400648899328178,0.125092466998467,0.0
nonlinear,1103,bp,0.006,0.1,0.0,0.012202733595229859,0.1258174920003512,0.0
nonlinear,1104,bp,0.006,0.1,0.0,0.0065443634731268225,0.12916448500254774,0.0
nonlinear,1100,bp,0.01,0.1,0.0,0.0031800637004171795,0.1315458219978609,0.0
nonlinear,1101,bp,0.01,0.1,0.0,0.007699087360815683,0.13684565400035353,0.0
nonlinear,1102,bp,0.01,0.1,0.0,0.003562879177088113,0.1480287770027644,0.0
nonlinear,1103,bp,0.01,0.1,0.0,0.009787998980798443,0.13117895000323188,0.0
nonlinear,1104,bp,0.01,0.1,0.0,0.0051196820570056645,0.12650307700096164,0.0
nonlinear,1100,pc,0.0005,0.05,0.0,0.06619498917692059,0.8662663329996576,0.03369536193455871
nonlinear,1101,pc,0.0005,0.05,0.0,0.08327721226955005,0.8613339050025388,0.04450642958869475
nonlinear,1102,pc,0.0005,0.05,0.0,0.07118523528510838,0.9176099769974826,0.03496335575151118
nonlinear,1103,pc,0.0005,0.05,0.0,0.1010208309321669,0.8790597920014989,0.04652322964741331
nonlinear,1104,pc,0.0005,0.05,0.0,0.06102110261821966,0.8872091720004391,0.03333228500294561
nonlinear,1100,pc,0.0005,0.1,0.0,0.06759966803363066,0.8632828459994926,0.041981544452197365
nonlinear,1101,pc,0.0005,0.1,0.0,0.0877211899230126,0.8328556010019383,0.051708098948148346
nonlinear,1102,pc,0.0005,0.1,0.0,0.07699123738058251,0.9014889229983964,0.04248635287872077
nonlinear,1103,pc,0.0005,0.1,0.0,0.11095665018103258,0.9629320700005337,0.055330144119239165
nonlinear,1104,pc,0.0005,0.1,0.0,0.06074239288518846,1.0627852529978554,0.04087727271294233
nonlinear,1100,pc,0.001,0.05,0.0,0.03068978388017232,1.0357051540013344,0.023227949623998854
nonlinear,1101,pc,0.001,0.05,0.0,0.04422638782786117,0.8548987810027029,0.030611128970862555
nonlinear,1102,pc,0.001,0.05,0.0,0.036134416943132824,0.9798959440013277,0.022909943401814875
nonlinear,1103,pc,0.001,0.05,0.0,0.043764233300067866,0.9905443919997197,0.03087324837397203
nonlinear,1104,pc,0.001,0.05,0.0,0.03076386871375289,0.9392055130010704,0.023769647936323753
nonlinear,1100,pc,0.001,0.1,0.0,0.03133318989401726,0.8484837309988507,0.02916543318615208
nonlinear,1101,pc,0.001,0.1,0.0,0.045319447058879914,0.9516015810004319,0.03493230568482655
nonlinear,1102,pc,0.001,0.1,0.0,0.039958151799264575,1.002622727999551,0.027657046100034048
nonlinear,1103,pc,0.001,0.1,0.0,0.04941954637689747,0.9068117989991151,0.03596701961429878
nonlinear,1104,pc,0.001,0.1,0.0,0.031607613618052026,1.0261952049986576,0.028170436294519163
nonlinear,1100,pc,0.003,0.05,0.0,0.010698396675473225,0.9325157499988563,0.014200578546754147
nonlinear,1101,pc,0.003,0.05,0.0,0.01662966914509968,0.8307585430011386,0.0171976119757011
nonlinear,1102,pc,0.003,0.05,0.0,0.011583008295600711,0.8715505430009216,0.013754200961048476
nonlinear,1103,pc,0.003,0.05,0.0,0.017880008040859135,0.9973160199988342,0.019378305079695575
nonlinear,1104,pc,0.003,0.05,0.0,0.011439627788056928,0.8317392859971733,0.015747658484920688
nonlinear,1100,pc,0.003,0.1,0.0,0.012070504964049116,0.9814159249981458,0.017186797630976223
nonlinear,1101,pc,0.003,0.1,0.0,0.01736438937721506,0.9884399450020283,0.02007764202484036
nonlinear,1102,pc,0.003,0.1,0.0,0.01301478880763556,0.9011594109979342,0.016167967592789243
nonlinear,1103,pc,0.003,0.1,0.0,0.021456994857403225,0.8488522359984927,0.022113453923641405
nonlinear,1104,pc,0.003,0.1,0.0,0.012100506607396524,0.891584190998401,0.018529080735776624
nonlinear,1100,pc,0.006,0.05,0.0,0.006727029887982618,0.8824807829987549,0.011734386219199169
nonlinear,1101,pc,0.006,0.05,0.0,0.01168829799401092,0.8881374269985827,0.01418756992078214
nonlinear,1102,pc,0.006,0.05,0.0,0.0069904209981753425,0.9025606040013372,0.010593238782283028
nonlinear,1103,pc,0.006,0.05,0.0,0.01375931490702649,0.8752117800031556,0.016357423729160592
nonlinear,1104,pc,0.006,0.05,0.0,0.007610072823493542,0.8899453230005747,0.012281727457159658
nonlinear,1100,pc,0.006,0.1,0.0,0.008360201927414171,0.8820604729990009,0.013903430898228994
nonlinear,1101,pc,0.006,0.1,0.0,0.013324034057629929,0.8569199710000248,0.016205120745413852
nonlinear,1102,pc,0.006,0.1,0.0,0.00907325817849971,0.8398186340018583,0.01261648895945956
nonlinear,1103,pc,0.006,0.1,0.0,0.016429462515042553,0.8427376370018465,0.01798133830443174
nonlinear,1104,pc,0.006,0.1,0.0,0.008724457081774441,0.8535479650017805,0.014919407704655233
nonlinear,1100,pcalm,0.001,0.05,0.2,0.0314190630331909,0.8769420370008447,0.020213130931880378
nonlinear,1101,pcalm,0.001,0.05,0.2,0.04439099705915079,0.9270986350020394,0.025725488397112497
nonlinear,1102,pcalm,0.001,0.05,0.2,0.036847512110743344,0.9388218160020187,0.01937202440578635
nonlinear,1103,pcalm,0.001,0.05,0.2,0.044470123582022215,0.9871996719994058,0.026196646831884537
nonlinear,1104,pcalm,0.001,0.05,0.2,0.03126214102779922,0.9529678340004466,0.020346032707569222
nonlinear,1100,pcalm,0.001,0.05,0.5,0.03229354954072796,0.9827764199981175,0.01696647097749883
nonlinear,1101,pcalm,0.001,0.05,0.5,0.04468704574373248,0.940749842000514,0.02161518947463747
nonlinear,1102,pcalm,0.001,0.05,0.5,0.03787363379285752,0.9424877789970196,0.01622738815898588
nonlinear,1103,pcalm,0.001,0.05,0.5,0.04573370157896628,0.924886693002918,0.022047456843957307
nonlinear,1104,pcalm,0.001,0.05,0.5,0.03181103261853483,0.8906112500008021,0.016907191659417013
nonlinear,1100,pcalm,0.001,0.1,0.2,0.03209950589084193,0.8507873889975599,0.023524168974007355
nonlinear,1101,pcalm,0.001,0.1,0.2,0.0453975113071673,0.8609232770031667,0.028623559028068287
nonlinear,1102,pcalm,0.001,0.1,0.2,0.04041990908883623,0.8788039710016164,0.022319691587715594
nonlinear,1103,pcalm,0.001,0.1,0.2,0.05002849538136942,0.8614947269998083,0.029701923873335003
nonlinear,1104,pcalm,0.001,0.1,0.2,0.03207699162709637,0.969103424999048,0.022835500138573113
nonlinear,1100,pcalm,0.001,0.1,0.5,0.03278320681536472,1.0208984569981112,0.018667167264392742
nonlinear,1101,pcalm,0.001,0.1,0.5,0.04551805539508456,0.9620765149993531,0.0245687806965498
nonlinear,1102,pcalm,0.001,0.1,0.5,0.04059785479487303,0.9021360879996791,0.018475248113838178
nonlinear,1103,pcalm,0.001,0.1,0.5,0.05056752764596878,0.9656094210004085,0.02511497240038957
nonlinear,1104,pcalm,0.001,0.1,0.5,0.03258024802265492,0.8739284490002319,0.018603558549957464
nonlinear,1100,pcalm,0.003,0.05,0.2,0.011304220249209872,0.9430464889992436,0.012276457000294519
nonlinear,1101,pcalm,0.003,0.05,0.2,0.016696980600019753,0.8625190390011994,0.014703985185594282
nonlinear,1102,pcalm,0.003,0.05,0.2,0.011902276516294214,0.8575620020019414,0.011787522619241084
nonlinear,1103,pcalm,0.003,0.05,0.2,0.018201900428174725,1.0567268880004121,0.016327826831188153
nonlinear,1104,pcalm,0.003,0.05,0.2,0.011781121420946986,0.8991311460013094,0.013512693367611678
nonlinear,1100,pcalm,0.003,0.05,0.5,0.01223206617293072,0.8878333110005769,0.01034108685120123
nonlinear,1101,pcalm,0.003,0.05,0.5,0.01688094036884148,0.9129903290013317,0.012507047251425304
nonlinear,1102,pcalm,0.003,0.05,0.5,0.012370088949478011,0.9086920979971183,0.009964143651907164
nonlinear,1103,pcalm,0.003,0.05,0.5,0.018852132562599242,0.9950340229988797,0.013997652587711738
nonlinear,1104,pcalm,0.003,0.05,0.5,0.012263102992209845,0.829529165999702,0.011436467641969535
nonlinear,1100,pcalm,0.003,0.1,0.2,0.013269823513241916,0.9019236029998865,0.013890488507924292
nonlinear,1101,pcalm,0.003,0.1,0.2,0.017630008577078613,0.8652722299993911,0.016418337406477686
nonlinear,1102,pcalm,0.003,0.1,0.2,0.013328214913163064,0.8543193920013437,0.013206110579967002
nonlinear,1103,pcalm,0.003,0.1,0.2,0.02177087028812841,0.8654022780028754,0.01843389687884251
nonlinear,1104,pcalm,0.003,0.1,0.2,0.01262971062813128,0.9820518020023883,0.015240373637993257
nonlinear,1100,pcalm,0.003,0.1,0.5,0.01430157365234346,0.8766193960000237,0.011489150304363666
nonlinear,1101,pcalm,0.003,0.1,0.5,0.01801420439321787,0.8924840720028442,0.014071758511305418
nonlinear,1102,pcalm,0.003,0.1,0.5,0.013630819487091099,0.8725183959977585,0.0109972504221916
nonlinear,1103,pcalm,0.003,0.1,0.5,0.021630405177279072,0.986982991998957,0.01569261625238056
nonlinear,1104,pcalm,0.003,0.1,0.5,0.013333660125940129,1.062607369000034,0.012819668786906085
nonlinear,1100,tp,0.001,0.05,0.2,0.031391159121645175,0.9006292820013186,0.01997330057077441
nonlinear,1101,tp,0.001,0.05,0.2,0.044378592511617874,0.8954488589988614,0.025174849352775894
nonlinear,1102,tp,0.001,0.05,0.2,0.036821944509104115,0.9066030319991114,0.019127967098582065
nonlinear,1103,tp,0.001,0.05,0.2,0.04534744070381517,0.8992515099998855,0.026269524478421482
nonlinear,1104,tp,0.001,0.05,0.2,0.03118654288897352,0.861041459000262,0.020234647237157136
nonlinear,1100,tp,0.001,0.05,0.5,0.032262791791923436,0.863391358001536,0.01683366430618158
nonlinear,1101,tp,0.001,0.05,0.5,0.04468482407951265,0.8322804649978934,0.021298307792547603
nonlinear,1102,tp,0.001,0.05,0.5,0.03777256309061354,0.8261859010017361,0.01610978816097527
nonlinear,1103,tp,0.001,0.05,0.5,0.047099793110419175,0.8636530929979926,0.022211017494327478
nonlinear,1104,tp,0.001,0.05,0.5,0.03179081652988736,0.8909500539994042,0.016868038836257076
nonlinear,1100,tp,0.001,0.1,0.2,0.03208566715815662,0.9527354990023014,0.023378189968894
nonlinear,1101,tp,0.001,0.1,0.2,0.04554278280727218,0.8574191719999362,0.028561837960604984
nonlinear,1102,tp,0.001,0.1,0.2,0.04005065974016549,0.8187161320020095,0.02223723033851446
nonlinear,1103,tp,0.001,0.1,0.2,0.05251444796218821,0.8442393529985566,0.030229305560543054
nonlinear,1104,tp,0.001,0.1,0.2,0.03230344652345188,0.8628345409997564,0.02297246076207767
nonlinear,1100,tp,0.001,0.1,0.5,0.03286001893543459,0.8478439909995359,0.019036683292317672
nonlinear,1101,tp,0.001,0.1,0.5,0.045731799495450975,0.851547873000527,0.025479196632499347
nonlinear,1102,tp,0.001,0.1,0.5,0.04018377777971142,0.8379296800012526,0.019071829059831343
nonlinear,1103,tp,0.001,0.1,0.5,0.05349518965622807,0.9282535790007387,0.026359307053890134
nonlinear,1104,tp,0.001,0.1,0.5,0.03268855777236136,0.8843579580025107,0.019267120228080924
nonlinear,1100,tp,0.003,0.05,0.2,0.011240008652578437,0.9636023819984985,0.012111724347512374
nonlinear,1101,tp,0.003,0.05,0.2,0.016770910458041636,0.9265029550006147,0.014524632482010233
nonlinear,1102,tp,0.003,0.05,0.2,0.011805361667443018,0.9380533869989449,0.01160596812230275
nonlinear,1103,tp,0.003,0.05,0.2,0.018684166574319844,0.824398826000106,0.016336289487959597
nonlinear,1104,tp,0.003,0.05,0.2,0.011787391582442125,0.8288522420007212,0.013505382591911126
nonlinear,1100,tp,0.003,0.05,0.5,0.012131411740038784,0.8487932229982107,0.010239320551381409
nonlinear,1101,tp,0.003,0.05,0.5,0.01715010411053457,0.846033724003064,0.012431135441456541
