task,seed,method,lr,eta,alpha,validation_mse,runtime_seconds,residual,test_mse,r2,noisy_input_mse,initial_test_mse
nonlinear,1300,pc,0.003,0.05,0.0,0.013729239514936093,0.9082388440001523,0.015798305802645046,0.01349104107283515,0.9554260073478457,0.027173000237517345,0.4557149372922633
nonlinear,1300,pcalm,0.003,0.05,0.2,0.013976071162413587,0.8533466689987108,0.013422439677797509,0.013745308040812046,0.954585916957408,0.02737577645151815,0.4557149372922633
nonlinear,1301,pc,0.003,0.05,0.0,0.012590763323333759,0.8803992119974282,0.016460925218827905,0.01383288909240885,0.9428823435671704,0.022704165997186415,0.45829084921298985
nonlinear,1301,pcalm,0.003,0.05,0.2,0.012928880767738599,0.8951937290003116,0.014132973543521296,0.014184908527982834,0.9414288131409179,0.02297712174189298,0.45829084921298985
nonlinear,1302,pc,0.003,0.05,0.0,0.015914179771677243,0.9596599020005669,0.017852025095472863,0.015608716778734858,0.9478210389541994,0.029839596586897593,0.44802498178569294
nonlinear,1302,pcalm,0.003,0.05,0.2,0.016197446786483365,0.9144022539985599,0.01511494180534727,0.015839015358634963,0.9470511652483813,0.0299800750982931,0.44802498178569294
nonlinear,1303,pc,0.003,0.05,0.0,0.014450561209174984,0.9775890050004818,0.015547538522290138,0.013376490914775269,0.9550673381307067,0.02569930110935063,0.451750086316328
nonlinear,1303,pcalm,0.003,0.05,0.2,0.01488855027613173,0.9024891350018152,0.013333021631438404,0.013750219215088172,0.9538119560237001,0.026123546459440993,0.451750086316328
nonlinear,1304,pc,0.003,0.05,0.0,0.018893018857921665,0.8815548719976505,0.01890385775332593,0.020454684426258262,0.9330406248472074,0.03668985588728376,0.40311827755354973
nonlinear,1304,pcalm,0.003,0.05,0.2,0.01949107577411509,0.8875037760008126,0.016175428636452605,0.021380842396064817,0.9300088030083226,0.037490312925468644,0.40311827755354973
nonlinear,1305,pc,0.003,0.05,0.0,0.017478134836597537,1.0798510929998884,0.01757001909000493,0.017859887222954982,0.9433091553239343,0.030610157945055613,0.41396396231797467
nonlinear,1305,pcalm,0.003,0.05,0.2,0.018027091116192707,0.8861321129988937,0.015178957462498316,0.018306074590441073,0.9418928676155739,0.031071217314980044,0.41396396231797467
nonlinear,1306,pc,0.003,0.05,0.0,0.02254261604629285,0.841494120999414,0.0178924965546722,0.02112526144014107,0.9119612099454348,0.03284531401431489,0.37325597672157523
nonlinear,1306,pcalm,0.003,0.05,0.2,0.0236368299509138,0.8481972320005298,0.015191703015609119,0.022121882042249602,0.9078078283552611,0.03379440622356914,0.37325597672157523
nonlinear,1307,pc,0.003,0.05,0.0,0.012252323359616098,0.8724297869994189,0.016946140019922583,0.012928308332746755,0.9488703720640773,0.022059619718440473,0.5052702809044095
nonlinear,1307,pcalm,0.003,0.05,0.2,0.012472300388148153,0.8606918639998185,0.014509525315830912,0.013233578915073166,0.9476630701578722,0.02230783763705507,0.5052702809044095
nonlinear,1308,pc,0.003,0.05,0.0,0.015154734002786711,0.8948447540024063,0.015736718343853286,0.014641954706996071,0.9599995768188816,0.03212298473789687,0.4874011232870141
nonlinear,1308,pcalm,0.003,0.05,0.2,0.015237828469816745,0.9021009319985751,0.013418782400392803,0.014749976457237907,0.9597044717042363,0.032169425670413275,0.4874011232870141
nonlinear,1309,pc,0.003,0.05,0.0,0.008739956957871843,0.9815248740014795,0.013825542946508729,0.008466132258237174,0.9635274331245857,0.018785517763653056,0.29962583120831804
nonlinear,1309,pcalm,0.003,0.05,0.2,0.008996704119902764,0.9024304619997565,0.011695600891540092,0.00868128450580745,0.962600545320504,0.01902067967290647,0.29962583120831804
nonlinear,1310,pc,0.003,0.05,0.0,0.013274025922722824,1.0006707870015816,0.01620624897143101,0.015107228571602793,0.9470659032028633,0.029262723848781924,0.4099702911585465
nonlinear,1310,pcalm,0.003,0.05,0.2,0.013385161584700512,0.9852668219973566,0.013766046839857828,0.015166572941805357,0.9468579669409752,0.02935304094354385,0.4099702911585465
nonlinear,1311,pc,0.003,0.05,0.0,0.012623965799990715,0.9682238049972511,0.01593771490182334,0.013084167610173827,0.9487043277915314,0.026078453145528743,0.4228631323303826
nonlinear,1311,pcalm,0.003,0.05,0.2,0.01381961484902632,0.8940670089978084,0.013925968619935709,0.014413133577006161,0.9434941986765669,0.027521191493611014,0.4228631323303826
nonlinear,1312,pc,0.003,0.05,0.0,0.014833787330235515,0.8508953589989687,0.016377255756956522,0.013859588439166909,0.9318718971253489,0.022371100176894004,0.44140480034763413
nonlinear,1312,pcalm,0.003,0.05,0.2,0.015399540197555364,0.8478731319992221,0.013688902055747118,0.014424737711414873,0.9290938530349171,0.022960222911334774,0.44140480034763413
nonlinear,1313,pc,0.003,0.05,0.0,0.011593709322616797,0.8181106669981091,0.014319106321809813,0.013004370250570043,0.9504150145568592,0.02594974104250547,0.3280913094793942
nonlinear,1313,pcalm,0.003,0.05,0.2,0.012070750502285116,0.8540703229991777,0.01237446976265253,0.013558623446765552,0.9483016760302232,0.026526246720678243,0.3280913094793942
nonlinear,1314,pc,0.003,0.05,0.0,0.017646868689538672,0.8608897660014918,0.01832608410483134,0.018063539399238566,0.9214204532922865,0.027490018824258323,0.3841226372681832
nonlinear,1314,pcalm,0.003,0.05,0.2,0.01815038242704292,0.9247576220004703,0.015635332708488558,0.018580438148631494,0.9191718535841478,0.028014838757427496,0.3841226372681832
nonlinear,1315,pc,0.003,0.05,0.0,0.016576207954223657,0.945343346997106,0.018351727234281683,0.016787157955067477,0.9387589113810839,0.0278751393872661,0.47762190508713864
nonlinear,1315,pcalm,0.003,0.05,0.2,0.016735328352597934,0.9199517810011457,0.015577376282598159,0.016914357777490396,0.9382948747872684,0.02802814332386101,0.47762190508713864
nonlinear,1316,pc,0.003,0.05,0.0,0.016195925158765872,0.8486472759977914,0.017308413808005123,0.01483771444271246,0.9265985899796885,0.022828408281804154,0.31775612984431917
nonlinear,1316,pcalm,0.003,0.05,0.2,0.016015991535074926,0.8659794490013155,0.014370911465669784,0.014776003582193836,0.9269038704319523,0.02266609058886425,0.31775612984431917
nonlinear,1317,pc,0.003,0.05,0.0,0.012556703741118188,0.8745576719993551,0.015451800421238728,0.013091022207313126,0.9567873091357646,0.026379174824370844,0.44729981220122
nonlinear,1317,pcalm,0.003,0.05,0.2,0.01302383563141357,0.8745483150014479,0.01323418738414409,0.013598823163269822,0.9551110881819829,0.02692047070066846,0.44729981220122
nonlinear,1318,pc,0.003,0.05,0.0,0.01856643872818006,0.8788394559996959,0.0185841828979283,0.018046902571678524,0.9449148530232653,0.03363621984026505,0.3917449465042216
nonlinear,1318,pcalm,0.003,0.05,0.2,0.01925630197878471,1.0024654859989823,0.01583912128754638,0.018741281837850624,0.9427953766320804,0.03433254278976127,0.3917449465042216
nonlinear,1319,pc,0.003,0.05,0.0,0.014893653985525989,0.8519781650029472,0.016732300504934166,0.015469747424698648,0.9255672953859876,0.02514026427819459,0.36328194829508825
nonlinear,1319,pcalm,0.003,0.05,0.2,0.015135928018337378,0.8618143829990004,0.014232630166805468,0.01585583040086493,0.9237096567747972,0.025551169478183474,0.36328194829508825
nonlinear,1300,pc,0.006,0.05,0.0,0.008415820961018554,0.8679319949987985,0.012433485532561475,0.008702094960360842,0.971248540811094,0.022639729480922365,0.4557149372922633
nonlinear,1300,pcalm,0.006,0.05,0.2,0.008733664016188988,0.8489882440007932,0.010594455834692923,0.009096280319328893,0.9699461642784477,0.023031571307939033,0.4557149372922633
nonlinear,1301,pc,0.006,0.05,0.0,0.009259301201097988,0.8813379260027432,0.013903740450601953,0.010103572474136631,0.958281138707414,0.01921385734781412,0.45829084921298985
nonlinear,1301,pcalm,0.006,0.05,0.2,0.009832134255129481,0.833786623999913,0.012045082453499199,0.010568698885959233,0.9563605760244603,0.01969433648212435,0.45829084921298985
nonlinear,1302,pc,0.006,0.05,0.0,0.010943791877890149,0.8416169230004016,0.013602024812580209,0.010179412399142449,0.9659708629111889,0.0245056942766002,0.44802498178569294
nonlinear,1302,pcalm,0.006,0.05,0.2,0.011489579186451548,0.8402512890024809,0.011563256236686822,0.0106272482010544,0.9644737759184444,0.024917722127397846,0.44802498178569294
nonlinear,1303,pc,0.006,0.05,0.0,0.006894805589215502,0.8416986699994595,0.01074253066166739,0.0071094686321465815,0.9761187480218942,0.019254675718993808,0.451750086316328
nonlinear,1303,pcalm,0.006,0.05,0.2,0.007303817124141442,0.8242893780006852,0.009370149411606667,0.007488687743940843,0.9748449218567822,0.01964185785083825,0.451750086316328
nonlinear,1304,pc,0.006,0.05,0.0,0.013205389064353751,0.8476918190026481,0.015628508020025942,0.014750740942306037,0.9517127531300562,0.030711828378559444,0.40311827755354973
nonlinear,1304,pcalm,0.006,0.05,0.2,0.014425552418021667,0.8512618299973838,0.013662508486843595,0.016191133015780085,0.9469975616753767,0.03173553906606167,0.40311827755354973
nonlinear,1305,pc,0.006,0.05,0.0,0.009348826723345255,0.9776876920004725,0.012804308971397246,0.008908290596782874,0.9717233086498787,0.022089867489138475,0.41396396231797467
nonlinear,1305,pcalm,0.006,0.05,0.2,0.009944655188968128,0.968032177999703,0.011394155358492869,0.00945157119945225,0.9699988276452134,0.02272043771853705,0.41396396231797467
nonlinear,1306,pc,0.006,0.05,0.0,0.019009052278426794,0.9747128259987221,0.014786401986695334,0.017840176295228907,0.9256516876800556,0.029406505560642088,0.37325597672157523
nonlinear,1306,pcalm,0.006,0.05,0.2,0.01968155518955893,0.9158660479988612,0.012843730400672831,0.018442758567884382,0.923140447081058,0.029938297950079937,0.37325597672157523
nonlinear,1307,pc,0.006,0.05,0.0,0.008334961253239353,0.8575019500021881,0.01462635336415158,0.008637821242319562,0.9658386406844788,0.018395866730806426,0.5052702809044095
nonlinear,1307,pcalm,0.006,0.05,0.2,0.008423053041013694,0.8504437579977093,0.01239197664733961,0.008765416610683913,0.9653340190787045,0.018459987860142846,0.5052702809044095
nonlinear,1308,pc,0.006,0.05,0.0,0.00903399916760924,0.8417078320017026,0.012813496463873525,0.00883189433232494,0.9758721073891099,0.02618833982475982,0.4874011232870141
nonlinear,1308,pcalm,0.006,0.05,0.2,0.009193337145150573,0.8416115030013316,0.011001325120266268,0.008988465796929343,0.9754443690872511,0.02626499801797284,0.4874011232870141
nonlinear,1309,pc,0.006,0.05,0.0,0.004836223351192923,0.8368348549993243,0.009656206892304292,0.004648741938125543,0.979972962144566,0.014894317796735904,0.29962583120831804
nonlinear,1309,pcalm,0.006,0.05,0.2,0.005021438697812417,0.8405861829996866,0.008244478744123358,0.0048494561423554445,0.9791082742312041,0.015139846085882128,0.29962583120831804
nonlinear,1310,pc,0.006,0.05,0.0,0.007919169875473921,0.8462607449982897,0.01269663194944126,0.00877679094611097,0.9692470727302711,0.023047905711643123,0.4099702911585465
nonlinear,1310,pcalm,0.006,0.05,0.2,0.008196235110457924,0.929212044000451,0.01086600050262923,0.009003912326519849,0.9684512639505019,0.023251752566177026,0.4099702911585465
nonlinear,1311,pc,0.006,0.05,0.0,0.006828193314518626,0.885362287001044,0.011639211513674533,0.007913049232837054,0.9689773784844009,0.021506310842881998,0.4228631323303826
nonlinear,1311,pcalm,0.006,0.05,0.2,0.008014735186254599,0.8600665369995113,0.01012950274240696,0.008962597674126348,0.9648626885465081,0.022534491968992043,0.4228631323303826
nonlinear,1312,pc,0.006,0.05,0.0,0.009959166525079404,0.8831008410015784,0.013822442522986837,0.009034216050895221,0.9555914662828032,0.018171161395045793,0.44140480034763413
nonlinear,1312,pcalm,0.006,0.05,0.2,0.010175818016092368,0.8504005760005384,0.011359780393081893,0.009354278881105326,0.9540181675143287,0.018400641191993115,0.44140480034763413
