task,method,mse,sd,r2,initial_mse,seconds,noisy_mse
linear,bp,0.3781050151443327,0.026602729980052028,0.6253561324521408,1.3199044282877606,0.12910829874963384,0.40426930676946427
linear,pc,0.5586836065263513,0.05232533383760966,0.44613855722255663,1.3199044282877606,0.8779906547495557,0.5843491292330109
linear,pcalm,0.5575522169458336,0.043248888574306185,0.44756957729006813,1.3199044282877606,0.8863349294493673,0.5807306376184146
linear,shuffle,0.5607134724627725,0.045991189787836784,0.44441522927054633,1.3199044282877606,0.8952234785998371,0.5838326081037678
linear,tp,0.5578579691009896,0.0429996569732911,0.4472854108519395,1.3199044282877606,0.8994884367002669,0.5808836710953973
nonlinear,bp,0.005821231889050479,0.0019185784154288302,0.9808192785362838,0.43183087903332185,0.13123973850051698,0.020558007303174686
nonlinear,pc,0.010909396539269936,0.00291228963618482,0.9635400840024569,0.43183087903332185,0.8647040378496967,0.02488835567908301
nonlinear,pcalm,0.017214423745015767,0.003398591146423267,0.9425256018382209,0.43183087903332185,0.8643174337998062,0.030764202315960092
nonlinear,shuffle,0.017288770803082394,0.003396302823076626,0.9422379966217169,0.43183087903332185,0.862309691399787,0.030855416919673317
nonlinear,tp,0.01722894388130131,0.0033899342657412903,0.9424501574439204,0.43183087903332185,0.8806266263003636,0.030767938421648842
