task,seed,method,lr,eta,alpha,validation_mse,runtime_seconds,residual,test_mse,r2,noisy_input_mse,initial_test_mse
linear,1200,bp,0.01,0.1,0.0,0.36418707609194084,0.1200865149985475,0.0,0.37025053910791944,0.6369630273526288,0.3957808039349405,1.2748265252348865
linear,1201,bp,0.01,0.1,0.0,0.4136659857746585,0.1200379689980764,0.0,0.3923376720858766,0.5996975090566847,0.41972364966226855,1.2356421388832803
linear,1202,bp,0.01,0.1,0.0,0.3655690233462689,0.13865434900071705,0.0,0.3732984996841529,0.6018842559802703,0.39529855848448475,1.3674797700783223
linear,1203,bp,0.01,0.1,0.0,0.3815569727630124,0.12839451000036206,0.0,0.3794141434246328,0.6102346128178093,0.4058564941567007,1.2865031267484086
linear,1204,bp,0.01,0.1,0.0,0.4077047421653888,0.12164809000023524,0.0,0.42264247101609936,0.6301924697172401,0.4511676137197905,1.6013078914507222
linear,1205,bp,0.01,0.1,0.0,0.36182972462553603,0.12158184900181368,0.0,0.3683186354451602,0.6614031454505338,0.4011687045000243,1.4048286819579279
linear,1206,bp,0.01,0.1,0.0,0.34324269304449756,0.12799270799951046,0.0,0.34366414529428413,0.6680591853067643,0.3709914183581502,1.2549982624519205
linear,1207,bp,0.01,0.1,0.0,0.4081706033336765,0.12324642499879701,0.0,0.40467704663695847,0.5997001335818086,0.4308329917143598,1.278071097435192
linear,1208,bp,0.01,0.1,0.0,0.36315297381264494,0.14353131299867528,0.0,0.3506656010973345,0.6263096761484601,0.3739500435467293,1.1810939052529983
linear,1209,bp,0.01,0.1,0.0,0.380931103389003,0.13093019900043146,0.0,0.3939700592859467,0.6049137757505303,0.4195635621919848,1.4039045912944281
linear,1210,bp,0.01,0.1,0.0,0.37133406609376113,0.14995564700075192,0.0,0.3704139804705737,0.6413731803642095,0.396267894896414,1.2344300668182617
linear,1211,bp,0.01,0.1,0.0,0.36632124302371327,0.12360112899841624,0.0,0.3600303397597946,0.6270892850202974,0.3841387447494922,1.2623664796642393
linear,1212,bp,0.01,0.1,0.0,0.4098256564638986,0.12370937100058654,0.0,0.39874637275910246,0.6084417922638521,0.42555989410891254,1.2753160373018382
linear,1213,bp,0.01,0.1,0.0,0.3464079367073721,0.12431531599941081,0.0,0.3405943792409194,0.6380197905820792,0.3674075590150035,1.3396520978542614
linear,1214,bp,0.01,0.1,0.0,0.3551878213368422,0.16430684299848508,0.0,0.3461562924371002,0.6442826089604046,0.3684375406902414,1.2210208640497369
linear,1215,bp,0.01,0.1,0.0,0.36189494287326873,0.1228847019992827,0.0,0.34597093914662436,0.6712645908265105,0.3735028631562285,1.3531759601730513
linear,1216,bp,0.01,0.1,0.0,0.35789823839683743,0.1328912900025898,0.0,0.3857980905620106,0.6291354771710147,0.4095844892007137,1.4344518621314737
linear,1217,bp,0.01,0.1,0.0,0.35689473000161015,0.11984827799824416,0.0,0.3718906659126889,0.6281037257221493,0.40157958424658596,1.2781400618225416
linear,1218,bp,0.01,0.1,0.0,0.4061490423601594,0.12055489599879365,0.0,0.4183038347286998,0.5847680111997804,0.4433051091729207,1.316023050105071
linear,1219,bp,0.01,0.1,0.0,0.4352982994269407,0.12399457599894959,0.0,0.42495659479077535,0.5952863957697887,0.4512686158833387,1.3948560950466493
linear,1200,pc,0.006,0.05,0.0,0.5223799274376487,0.8362583699999959,0.06409007351661368,0.49361941241901075,0.5159977415391727,0.51418370252898,1.2748265252348865
linear,1201,pc,0.006,0.05,0.0,0.6131462580781671,0.8417555409978377,0.0671741624336276,0.5993342255185738,0.38849873348345165,0.6272613000179835,1.2356421388832803
linear,1202,pc,0.006,0.05,0.0,0.5268408776773824,0.9349412679985107,0.06784075708261755,0.5480134837645766,0.41555405123145683,0.5697438158411549,1.3674797700783223
linear,1203,pc,0.006,0.05,0.0,0.5664529321611733,0.904455981002684,0.06417464489495912,0.5604324205856961,0.4242777630074649,0.5772433956741604,1.2865031267484086
linear,1204,pc,0.006,0.05,0.0,0.6026728282803386,0.8383614179983851,0.0640371400994998,0.5830464565844934,0.4898407402567627,0.6129491070699099,1.6013078914507222
linear,1205,pc,0.006,0.05,0.0,0.5757713812886582,0.8471956969988241,0.07048399357726456,0.596722983781602,0.45143007737954643,0.6236289632293689,1.4048286819579279
linear,1206,pc,0.006,0.05,0.0,0.48681813727678325,0.8988709730001574,0.06604474241283839,0.5059732897141639,0.511286852875165,0.5353293506177111,1.2549982624519205
linear,1207,pc,0.006,0.05,0.0,0.5124868170504534,0.8591377999982797,0.07110716608263444,0.5448183842060451,0.4610746316543447,0.5733823774824046,1.278071097435192
linear,1208,pc,0.006,0.05,0.0,0.57499101113096,0.8362749869993422,0.05864002737639164,0.5693296344456275,0.3932881502819223,0.5908242061153288,1.1810939052529983
linear,1209,pc,0.006,0.05,0.0,0.504520420717986,0.9874218959994323,0.06340337294597695,0.540427032847019,0.4580418718192447,0.5703466048815441,1.4039045912944281
linear,1210,pc,0.006,0.05,0.0,0.5493711610217175,0.8629924669985485,0.06794151707662736,0.552873761311392,0.4647195593770711,0.5827625378872091,1.2344300668182617
linear,1211,pc,0.006,0.05,0.0,0.5050758200467736,0.8534847519986215,0.06531000222280647,0.5060278230141159,0.4758686242783995,0.5248969273818608,1.2623664796642393
linear,1212,pc,0.006,0.05,0.0,0.5351591449107219,0.8360409870001604,0.07740427496382585,0.5456414290479783,0.4641947999519709,0.5711163846734947,1.2753160373018382
linear,1213,pc,0.006,0.05,0.0,0.598022179028909,0.811360092000541,0.0705590088670341,0.5863744544358614,0.3768072500577794,0.6198062163468333,1.3396520978542614
linear,1214,pc,0.006,0.05,0.0,0.510214176513922,0.9661405590013601,0.0654241353234251,0.5013976638394076,0.4847533534676072,0.5274572618111478,1.2210208640497369
linear,1215,pc,0.006,0.05,0.0,0.5547999475583734,0.937297133001266,0.06694019606363139,0.5153081587592042,0.5103633882140841,0.536738682031537,1.3531759601730513
linear,1216,pc,0.006,0.05,0.0,0.5231184314294396,0.9050738279984216,0.06284075352906221,0.5723400586808944,0.44981422160645435,0.5916848459409231,1.4344518621314737
linear,1217,pc,0.006,0.05,0.0,0.47762695841669184,0.9278458900007536,0.0627474945489207,0.5187013139934072,0.48129086363661844,0.5502136055107667,1.2781400618225416
linear,1218,pc,0.006,0.05,0.0,0.5796889527458363,0.8181774839977152,0.07174954318934675,0.6093846173127879,0.39509044483141853,0.6394889966549718,1.316023050105071
linear,1219,pc,0.006,0.05,0.0,0.7114243405321204,0.8567259720002767,0.06309130449090126,0.7239055262651686,0.3105780255011966,0.7479243029629264,1.3948560950466493
linear,1200,pcalm,0.003,0.05,0.2,0.5019182873791834,0.8245792069974414,0.07229232416282796,0.49477587010415647,0.5148638150416673,0.515420993625629,1.2748265252348865
linear,1201,pcalm,0.003,0.05,0.2,0.6140578913629017,0.9456098919981741,0.07689690635183102,0.6027991317240785,0.38496348646632383,0.6258859141754335,1.2356421388832803
linear,1202,pcalm,0.003,0.05,0.2,0.5533018608417865,0.9622812269990391,0.07536327033008684,0.5552064924425449,0.4078828443983389,0.5740763990020423,1.3674797700783223
linear,1203,pcalm,0.003,0.05,0.2,0.5555032848950684,1.0570074669994938,0.07312975869111028,0.5516687336948819,0.43328054235382885,0.5657582782857883,1.2865031267484086
linear,1204,pcalm,0.003,0.05,0.2,0.617576886296824,0.8731668330001412,0.07507544822421693,0.6051466819129574,0.4705032852968696,0.6315036535928927,1.6013078914507222
linear,1205,pcalm,0.003,0.05,0.2,0.5738820257600362,0.9209022350005398,0.07741739397618767,0.6021712906103996,0.44642142623534997,0.6273304568343391,1.4048286819579279
linear,1206,pcalm,0.003,0.05,0.2,0.4989593697457097,0.8273933370001032,0.072828782109618,0.509619929597966,0.5077646099222798,0.5380914538816913,1.2549982624519205
linear,1207,pcalm,0.003,0.05,0.2,0.5385917136698994,0.8419071019998228,0.07630344745698385,0.5613145569866417,0.44475688935746516,0.5876622339574754,1.278071097435192
linear,1208,pcalm,0.003,0.05,0.2,0.5442127438871851,0.8578029720010818,0.06649973797309398,0.5519326785485187,0.41182739126500656,0.5731510108268503,1.1810939052529983
linear,1209,pcalm,0.003,0.05,0.2,0.49808434207937696,0.8840777419973165,0.07129191238019808,0.5153678677734632,0.48317203254693963,0.5422436114612185,1.4039045912944281
