gain,method,steps,gradient_error,gradient_cosine,residual
0.4,alm_exact,8,0.34864083235403154,0.9672597947687404,2.201485349086498
0.4,alm_exact,32,0.015564404974999424,0.9999429480238027,0.09836633860813053
0.4,alm_exact,128,5.538243886110226e-07,0.9999999999997939,1.896365868070244e-06
0.4,alm_exact,512,7.058442587848846e-16,0.9999999999999998,1.0290758398563687e-15
0.4,alm_exact,4096,7.125288477540662e-16,0.9999999999999998,1.0284110870660274e-15
0.4,alm_masked,8,0.35166564686711305,0.9651890503693792,2.2011186574801984
0.4,alm_masked,32,0.06828069594705202,0.9976931783680859,0.09656249500336227
0.4,alm_masked,128,0.06661945618993909,0.9977568493128569,4.3174493779683835e-07
0.4,alm_masked,512,0.0666194505407009,0.9977568497128673,1.1277309380848825e-15
0.4,alm_masked,4096,0.06661945054070088,0.9977568497128673,1.1369683511174855e-15
0.4,pc,8,0.6129077365133188,0.9126218514122726,3.508223514275779
0.4,pc,32,0.6089868896130545,0.909583366071429,3.5698278682041362
0.4,pc,128,0.6089859977789779,0.9095809112136946,3.569847069127877
0.4,pc,512,0.6089859977789573,0.9095809112133185,3.5698470691299717
0.4,pc,4096,0.6089859977789573,0.9095809112133185,3.5698470691299717
0.8,alm_exact,8,0.3616751847919907,0.9641906312271746,2.211469672733516
0.8,alm_exact,32,0.01883375799347824,0.9998888664442143,0.1116836447256631
0.8,alm_exact,128,1.770403503497931e-05,0.9999999997833123,7.007854256832293e-05
0.8,alm_exact,512,1.3465735575789016e-14,1.0,4.6344914378760545e-14
0.8,alm_exact,4096,7.40539997528217e-16,0.9999999999999998,1.226006618606421e-15
0.8,alm_masked,8,0.3745400315414384,0.9561809492583183,2.2109137349987416
0.8,alm_masked,32,0.14033791099888646,0.990079143851119,0.10181560397613824
0.8,alm_masked,128,0.13939483782656864,0.9901779708513742,3.0153227525710037e-06
0.8,alm_masked,512,0.13939483232550728,0.9901779699031451,1.1462573386252922e-15
0.8,alm_masked,4096,0.13939483232550728,0.9901779699031452,1.141187528099681e-15
0.8,pc,8,0.6210700500092284,0.9083221428329171,3.5147813447038745
0.8,pc,32,0.6162158436983327,0.9054340997614243,3.58280269390983
0.8,pc,128,0.6162048980169692,0.905416765952112,3.5829474190746935
0.8,pc,512,0.6162048978487162,0.905416765659881,3.5829474210688623
0.8,pc,4096,0.6162048978487162,0.905416765659881,3.5829474210688623
