seed,method,steps,spectral_radius,gradient_error,gradient_cosine,residual
46000,pc,8,0.9873060818139132,0.5855504416795814,0.9473677004727886,0.01540871054887077
46000,pc,32,0.9873060818139132,0.40404306362680803,0.961093479196054,0.022826261829373928
46000,pc,128,0.9873060818139132,0.3473935303627376,0.9816415493151324,0.023376988887065027
46000,pc,512,0.9873060818139132,0.33439971764794335,0.9838933245117781,0.023450351791255892
46000,alm,8,0.993381325578121,0.38523847297540725,0.9514852866443775,0.012277775559849897
46000,alm,32,0.993381325578121,0.08877175483111448,0.9970764150357929,0.0024711861916008166
46000,alm,128,0.993381325578121,0.1453361896243455,0.9898729886698502,0.00021056846882914793
46000,alm,512,0.993381325578121,0.00962842245358907,0.9999584952360917,3.0698282319017905e-05
46000,masked,8,0.9904362785917536,0.40573072313242065,0.9398034584441974,0.012293477000370302
46000,masked,32,0.9904362785917536,0.33121064771761666,0.9438171000995015,0.0021658263816615405
46000,masked,128,0.9904362785917536,0.33085783054186957,0.9439308254539093,3.8874688628622815e-05
46000,masked,512,0.9904362785917536,0.33077753774803137,0.9439578524093526,1.506451909266768e-07
46001,pc,8,0.9823683574100855,0.590954479977648,0.9530419145451717,0.01541263155379065
46001,pc,32,0.9823683574100855,0.35074669595486846,0.9814279657014084,0.022904706357288963
46001,pc,128,0.9823683574100855,0.3002988388071359,0.9886119543122981,0.02374748100147322
46001,pc,512,0.9823683574100855,0.2984536179819349,0.9883720610344683,0.023840292044953092
46001,alm,8,0.9909532232742575,0.3808318534116696,0.9600935735170488,0.01228254032046715
46001,alm,32,0.9909532232742575,0.21524605041274142,0.9897338504731984,0.0027986327155991655
46001,alm,128,0.9909532232742575,0.023539983748838488,0.9997240605556351,0.0006609741434244029
46001,alm,512,0.9909532232742575,0.0008238385541859321,0.9999996606655309,1.5056471050924523e-05
46001,masked,8,0.9870473814419978,0.40870742877920085,0.9437732071405756,0.01235565801066233
46001,masked,32,0.9870473814419978,0.2728965763667171,0.9638751858777052,0.00212011655171189
46001,masked,128,0.9870473814419978,0.2777128293005942,0.9610291167563177,3.241617690162942e-05
46001,masked,512,0.9870473814419978,0.2771759269989544,0.9611537757528676,8.877049512727148e-08
46002,pc,8,0.9892771853566097,0.5400488528534283,0.9664312547573252,0.016366357296348853
46002,pc,32,0.9892771853566097,0.32306050003082554,0.9755890507539914,0.023811008030892703
46002,pc,128,0.9892771853566097,0.2828457061365056,0.9806409564735812,0.024590776146847185
46002,pc,512,0.9892771853566097,0.2847276096791102,0.9772332922961725,0.024799171555717807
46002,alm,8,0.9943924483118319,0.3146796733028841,0.970441551455712,0.01298057208023947
46002,alm,32,0.9943924483118319,0.13588891512920892,0.9945020527190658,0.0030105453552356208
46002,alm,128,0.9943924483118319,0.07002997532152311,0.9975449130398749,0.0008498080192395779
46002,alm,512,0.9943924483118319,0.008867011591074107,0.9999617770361707,2.124078685006971e-05
46002,masked,8,0.9919326160336882,0.33314324827402675,0.9626411479008692,0.01308361673652633
46002,masked,32,0.9919326160336882,0.23557160910731786,0.9727760866609714,0.0021246186668011924
46002,masked,128,0.9919326160336882,0.2320014602762578,0.9727706506781567,5.357368914405614e-05
46002,masked,512,0.9919326160336882,0.23484867871598689,0.9720864259375409,7.3905618243512e-07
