method,steps,gradient_error,gradient_cosine,residual
alm,8,0.3602499998966537,0.9606734705390462,0.012513629320185507
alm,32,0.14663557345768827,0.9937707727426858,0.0027601214208118675
alm,128,0.0796353828982357,0.9957139874217867,0.0005737835438310429
alm,512,0.0064397575329497025,0.9999733109792645,2.2331846740004044e-05
masked,8,0.3825271333952161,0.9487392711618807,0.012577583915852987
masked,32,0.2798929443972172,0.960156124212726,0.0021368538667248744
masked,128,0.2801907067062405,0.9592435309627946,4.162151822476946e-05
masked,512,0.2809340478209909,0.9590660180332536,3.2615728949635614e-07
pc,8,0.5721845915035525,0.9556136232584285,0.015729233133003426
pc,32,0.35928341987083395,0.9727034985504845,0.023180658739185196
pc,128,0.31017935843545974,0.9836314867003372,0.023905082011795142
pc,512,0.30586031510299616,0.9831662259474729,0.024029938463975598
