phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
development,46000,alm,0.003,1,0.5022091279086335,0.23,0.0022918580298333917
development,46000,alm,0.003,2,0.41753182515066806,0.38,0.002072006878957552
development,46000,alm,0.003,3,0.3795841830558541,0.56,0.0020160570504978255
development,46000,alm,0.003,4,0.3523697628632671,0.6633333333333333,0.0020880141793905636
development,46000,alm,0.003,5,0.33136217178658844,0.7066666666666667,0.0021678364744023176
development,46000,alm,0.003,6,0.3155220171754217,0.74,0.0021704539244350187
development,46000,alm,0.003,7,0.303747854029822,0.75,0.0022679866419022202
development,46000,alm,0.003,8,0.29322663448797975,0.7866666666666666,0.0022823161422713813
development,46000,alm,0.003,9,0.28403018547438896,0.81,0.002257280898893641
development,46000,alm,0.003,10,0.2762100764075066,0.8366666666666667,0.0023533616473739413
development,46000,alm,0.003,11,0.2698586410874962,0.8466666666666667,0.0022691768102412347
development,46000,alm,0.003,12,0.2640175959231433,0.8566666666666667,0.0022948083278686022
development,46000,alm,0.003,13,0.2591800617987715,0.8633333333333333,0.002311161164321684
development,46000,alm,0.003,14,0.2554085674121953,0.8666666666666667,0.0024221730359327664
development,46000,alm,0.003,15,0.25146971746677643,0.87,0.0023500167302416214
development,46000,alm,0.003,16,0.24815484733677295,0.87,0.002345287330686938
development,46000,alm,0.003,17,0.24510482405720013,0.87,0.0023203095941917227
development,46000,alm,0.003,18,0.2422443935495338,0.8766666666666667,0.002330528313222502
development,46000,alm,0.003,19,0.23976231751583077,0.88,0.00233817128928409
development,46000,alm,0.003,20,0.23695165094062007,0.88,0.002393701060663686
