phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
development,46000,pc,0.003,1,0.5003853027997479,0.23,0.01915756859044148
development,46000,pc,0.003,2,0.41551781292127726,0.39,0.018323053529454254
development,46000,pc,0.003,3,0.3777212308506176,0.55,0.018508079114455175
development,46000,pc,0.003,4,0.34724200989515797,0.65,0.01926716975823957
development,46000,pc,0.003,5,0.3234186541296073,0.72,0.02007546643364683
development,46000,pc,0.003,6,0.3072200458795621,0.73,0.020290221063923173
development,46000,pc,0.003,7,0.2946557682238387,0.7466666666666667,0.02104904309121168
development,46000,pc,0.003,8,0.2842425290290823,0.77,0.021817675345390832
development,46000,pc,0.003,9,0.27523142531706285,0.8066666666666666,0.02214773073760116
development,46000,pc,0.003,10,0.2679692084102547,0.8266666666666667,0.023482817627080238
development,46000,pc,0.003,11,0.26192199736511174,0.8366666666666667,0.02344739458721331
development,46000,pc,0.003,12,0.25566064979572306,0.8466666666666667,0.023907469203741046
development,46000,pc,0.003,13,0.25037479313291283,0.8533333333333334,0.024639457415009138
development,46000,pc,0.003,14,0.24622318325305703,0.8666666666666667,0.025302802157641024
development,46000,pc,0.003,15,0.2417092058128829,0.8733333333333333,0.024766072125378638
development,46000,pc,0.003,16,0.23806737635620379,0.87,0.025140582559906907
development,46000,pc,0.003,17,0.23523751469444548,0.8866666666666667,0.02545205758223066
development,46000,pc,0.003,18,0.23270281568852122,0.88,0.025793757175335538
development,46000,pc,0.003,19,0.23091052856727473,0.8833333333333333,0.025469109680833265
development,46000,pc,0.003,20,0.2291794296732246,0.8833333333333333,0.026326654811535396
