phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
development,46002,implicit,0.003,1,0.44494520945723953,0.23,0.0
development,46002,implicit,0.003,2,0.4006212966485281,0.4066666666666667,0.0
development,46002,implicit,0.003,3,0.3638144655119409,0.5666666666666667,0.0
development,46002,implicit,0.003,4,0.3330766849440289,0.7133333333333334,0.0
development,46002,implicit,0.003,5,0.3154578773686658,0.7333333333333333,0.0
development,46002,implicit,0.003,6,0.2997264791450659,0.7633333333333333,0.0
development,46002,implicit,0.003,7,0.28799509256205186,0.79,0.0
development,46002,implicit,0.003,8,0.2800770072745661,0.8,0.0
development,46002,implicit,0.003,9,0.27369702276741037,0.8,0.0
development,46002,implicit,0.003,10,0.26846169263641245,0.8066666666666666,0.0
development,46002,implicit,0.003,11,0.26382211320578,0.82,0.0
development,46002,implicit,0.003,12,0.2598593997454345,0.82,0.0
development,46002,implicit,0.003,13,0.25651020151998977,0.8233333333333334,0.0
development,46002,implicit,0.003,14,0.2532662294790975,0.8366666666666667,0.0
development,46002,implicit,0.003,15,0.2501187710562447,0.83,0.0
development,46002,implicit,0.003,16,0.24756242509806992,0.83,0.0
development,46002,implicit,0.003,17,0.24522954019189178,0.8366666666666667,0.0
development,46002,implicit,0.003,18,0.24302402642099022,0.84,0.0
development,46002,implicit,0.003,19,0.24063062839472923,0.8466666666666667,0.0
development,46002,implicit,0.003,20,0.23850435689633656,0.8466666666666667,0.0
