phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
development,46002,masked,0.003,1,0.446981359973663,0.21666666666666667,0.0021934326139917606
development,46002,masked,0.003,2,0.4027097353266821,0.4033333333333333,0.002110156343401362
development,46002,masked,0.003,3,0.3671870612773671,0.5633333333333334,0.0020430150730883978
development,46002,masked,0.003,4,0.337801583749749,0.7166666666666667,0.002045528484046573
development,46002,masked,0.003,5,0.3210321202184402,0.7333333333333333,0.002100110216879718
development,46002,masked,0.003,6,0.30551057645847435,0.7633333333333333,0.002162283109847892
development,46002,masked,0.003,7,0.29228389366702145,0.7833333333333333,0.0022242784715656013
development,46002,masked,0.003,8,0.28290471576159804,0.8,0.0022923093615480543
development,46002,masked,0.003,9,0.27534966638303765,0.7966666666666666,0.0022812524945720076
development,46002,masked,0.003,10,0.2689001656522324,0.8133333333333334,0.002293808714331428
development,46002,masked,0.003,11,0.26394545898927596,0.8233333333333334,0.0023335993401616124
development,46002,masked,0.003,12,0.2595586209000656,0.83,0.002387179791603895
development,46002,masked,0.003,13,0.25653516544077754,0.8233333333333334,0.0022717253417285973
development,46002,masked,0.003,14,0.25302329740579527,0.8266666666666667,0.0022801520479127737
development,46002,masked,0.003,15,0.2498777182032137,0.8333333333333334,0.002261424132963424
development,46002,masked,0.003,16,0.24740052984203836,0.8366666666666667,0.0022911299400161502
development,46002,masked,0.003,17,0.24593129825477425,0.8433333333333334,0.002243114609694963
development,46002,masked,0.003,18,0.24405786753526806,0.8366666666666667,0.0022408515007961635
development,46002,masked,0.003,19,0.24198177048123606,0.8533333333333334,0.0022364160240094183
development,46002,masked,0.003,20,0.24042353759827573,0.8533333333333334,0.002183670266169826
