phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
development,46002,readout,0.001,1,0.5271652553689204,0.11333333333333333,0.0
development,46002,readout,0.001,2,0.49027694042085024,0.12333333333333334,0.0
development,46002,readout,0.001,3,0.4635376921657199,0.17,0.0
development,46002,readout,0.001,4,0.4432689270800983,0.24333333333333335,0.0
development,46002,readout,0.001,5,0.42724081998866303,0.3233333333333333,0.0
development,46002,readout,0.001,6,0.413981802429005,0.37333333333333335,0.0
development,46002,readout,0.001,7,0.40286157971987036,0.44,0.0
development,46002,readout,0.001,8,0.393177444459668,0.48333333333333334,0.0
development,46002,readout,0.001,9,0.3845324639430418,0.5233333333333333,0.0
development,46002,readout,0.001,10,0.3766689884104834,0.5733333333333334,0.0
development,46002,readout,0.001,11,0.3694104863257046,0.6133333333333333,0.0
development,46002,readout,0.001,12,0.3627046106472024,0.63,0.0
development,46002,readout,0.001,13,0.35650343198967105,0.6533333333333333,0.0
development,46002,readout,0.001,14,0.3507521053080656,0.6833333333333333,0.0
development,46002,readout,0.001,15,0.3454074961080314,0.6933333333333334,0.0
development,46002,readout,0.001,16,0.3403892995528446,0.7033333333333334,0.0
development,46002,readout,0.001,17,0.33574390517276936,0.71,0.0
development,46002,readout,0.001,18,0.3313851845389093,0.7233333333333334,0.0
development,46002,readout,0.001,19,0.327303382378934,0.7433333333333333,0.0
development,46002,readout,0.001,20,0.32344176632053123,0.7466666666666667,0.0
