phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
evaluation,47000,implicit,0.003,1,0.44694545979253025,0.22333333333333333,0.0
evaluation,47000,implicit,0.003,2,0.39563787731779465,0.5,0.0
evaluation,47000,implicit,0.003,3,0.35760536842758855,0.6333333333333333,0.0
evaluation,47000,implicit,0.003,4,0.32612844892779386,0.69,0.0
evaluation,47000,implicit,0.003,5,0.3067633397565848,0.72,0.0
evaluation,47000,implicit,0.003,6,0.2934161914285661,0.75,0.0
evaluation,47000,implicit,0.003,7,0.2833256260243917,0.7766666666666666,0.0
evaluation,47000,implicit,0.003,8,0.27530590329594323,0.79,0.0
evaluation,47000,implicit,0.003,9,0.2687209352473444,0.8,0.0
evaluation,47000,implicit,0.003,10,0.2637689103330097,0.7966666666666666,0.0
evaluation,47000,implicit,0.003,11,0.2586857810462108,0.8233333333333334,0.0
evaluation,47000,implicit,0.003,12,0.25505803895281387,0.8233333333333334,0.0
evaluation,47000,implicit,0.003,13,0.251800729991416,0.83,0.0
evaluation,47000,implicit,0.003,14,0.24865502793462288,0.8266666666666667,0.0
evaluation,47000,implicit,0.003,15,0.24642447231411357,0.8366666666666667,0.0
evaluation,47000,implicit,0.003,16,0.2442004128815529,0.8433333333333334,0.0
evaluation,47000,implicit,0.003,17,0.24196767593782606,0.8466666666666667,0.0
evaluation,47000,implicit,0.003,18,0.23983590618583386,0.85,0.0
evaluation,47000,implicit,0.003,19,0.23794591451434702,0.8533333333333334,0.0
evaluation,47000,implicit,0.003,20,0.23589662435138195,0.85,0.0
