phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
evaluation,47001,readout,0.003,1,0.49510602334859194,0.1,0.0
evaluation,47001,readout,0.003,2,0.447506514825461,0.27,0.0
evaluation,47001,readout,0.003,3,0.41586537992706696,0.42,0.0
evaluation,47001,readout,0.003,4,0.3864562458124834,0.54,0.0
evaluation,47001,readout,0.003,5,0.3617603350536745,0.5833333333333334,0.0
evaluation,47001,readout,0.003,6,0.34131379463696004,0.64,0.0
evaluation,47001,readout,0.003,7,0.32496861904352314,0.6933333333333334,0.0
evaluation,47001,readout,0.003,8,0.31167537643161264,0.74,0.0
evaluation,47001,readout,0.003,9,0.30059013621785946,0.7633333333333333,0.0
evaluation,47001,readout,0.003,10,0.2911441149545094,0.7733333333333333,0.0
evaluation,47001,readout,0.003,11,0.28317157199031306,0.79,0.0
evaluation,47001,readout,0.003,12,0.27650364801715716,0.7866666666666666,0.0
evaluation,47001,readout,0.003,13,0.27085382787998197,0.8,0.0
evaluation,47001,readout,0.003,14,0.26650736087322113,0.82,0.0
evaluation,47001,readout,0.003,15,0.26234361893383473,0.8166666666666667,0.0
evaluation,47001,readout,0.003,16,0.2588425207630372,0.8233333333333334,0.0
evaluation,47001,readout,0.003,17,0.2557695561732337,0.8233333333333334,0.0
evaluation,47001,readout,0.003,18,0.2531670826266373,0.8333333333333334,0.0
evaluation,47001,readout,0.003,19,0.2507499598585514,0.8366666666666667,0.0
evaluation,47001,readout,0.003,20,0.24871746429648103,0.8366666666666667,0.0
