phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
evaluation,47003,pc,0.003,1,0.4395366018836387,0.25333333333333335,0.01828907205720117
evaluation,47003,pc,0.003,2,0.40266704693778704,0.39,0.018443602536499806
evaluation,47003,pc,0.003,3,0.3651494552288624,0.6333333333333333,0.018759683794982652
evaluation,47003,pc,0.003,4,0.33383258898539386,0.7466666666666667,0.019365909287894955
evaluation,47003,pc,0.003,5,0.307007260469797,0.7966666666666666,0.02015711813346313
evaluation,47003,pc,0.003,6,0.2882609009368669,0.8266666666666667,0.021602861096139486
evaluation,47003,pc,0.003,7,0.2725834749289888,0.8433333333333334,0.022515979186622518
evaluation,47003,pc,0.003,8,0.26079156687582866,0.8566666666666667,0.02236906913053195
evaluation,47003,pc,0.003,9,0.2515560831200759,0.86,0.023089886975490716
evaluation,47003,pc,0.003,10,0.24488990573580505,0.8666666666666667,0.024035684995732227
evaluation,47003,pc,0.003,11,0.23944004613159323,0.8866666666666667,0.024270771961426393
evaluation,47003,pc,0.003,12,0.23577908581597795,0.8733333333333333,0.0242425815168746
evaluation,47003,pc,0.003,13,0.23209249602752502,0.8766666666666667,0.024753026051410214
evaluation,47003,pc,0.003,14,0.22959862380227666,0.88,0.02484671037890549
evaluation,47003,pc,0.003,15,0.22753816334858626,0.8733333333333333,0.024875633282852746
evaluation,47003,pc,0.003,16,0.22651992374583907,0.8766666666666667,0.02612582740696375
evaluation,47003,pc,0.003,17,0.22506233691129612,0.8766666666666667,0.027330123698609404
evaluation,47003,pc,0.003,18,0.22434976116401734,0.8766666666666667,0.026325487338891198
evaluation,47003,pc,0.003,19,0.22397334782313058,0.8733333333333333,0.026059741797736
evaluation,47003,pc,0.003,20,0.22309709097019767,0.88,0.0267890104156252
