phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
evaluation,47004,alm,0.003,1,0.451417804401841,0.22666666666666666,0.0020934589385304975
evaluation,47004,alm,0.003,2,0.39774703457010113,0.46,0.0019468219256438871
evaluation,47004,alm,0.003,3,0.36066245423138366,0.62,0.0018832502423377021
evaluation,47004,alm,0.003,4,0.33164749788461556,0.71,0.0019620184584929917
evaluation,47004,alm,0.003,5,0.3120441562322477,0.74,0.002151639561465265
evaluation,47004,alm,0.003,6,0.29793793608661984,0.7733333333333333,0.002177986246384569
evaluation,47004,alm,0.003,7,0.28519606304528367,0.8233333333333334,0.00224946949390285
evaluation,47004,alm,0.003,8,0.2743534521578108,0.8333333333333334,0.0023416552080683
evaluation,47004,alm,0.003,9,0.2655707783205755,0.85,0.002479618822615089
evaluation,47004,alm,0.003,10,0.2583250437044376,0.86,0.0025338430900484713
evaluation,47004,alm,0.003,11,0.25221038403313223,0.86,0.0024777351592711453
evaluation,47004,alm,0.003,12,0.24662354846363357,0.8633333333333333,0.0025602420089148002
evaluation,47004,alm,0.003,13,0.24216868489940283,0.8666666666666667,0.0024863054109693504
evaluation,47004,alm,0.003,14,0.2377761155567784,0.87,0.0024850865604787113
evaluation,47004,alm,0.003,15,0.23449989036362087,0.8766666666666667,0.0025397714965674553
evaluation,47004,alm,0.003,16,0.230748300353391,0.8766666666666667,0.0026617975501421216
evaluation,47004,alm,0.003,17,0.22779211324537607,0.8866666666666667,0.0027243570236108734
evaluation,47004,alm,0.003,18,0.22556449030143905,0.8833333333333333,0.0027055184157056605
evaluation,47004,alm,0.003,19,0.22310533640851976,0.8966666666666666,0.00271234611729174
evaluation,47004,alm,0.003,20,0.22129301789272243,0.9033333333333333,0.0026986434073933
