phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
evaluation,47004,masked,0.003,1,0.45375480020632397,0.22,0.002158185403702952
evaluation,47004,masked,0.003,2,0.40092051170045295,0.45,0.0020602177199999005
evaluation,47004,masked,0.003,3,0.36511309116820173,0.6166666666666667,0.0019607445079016005
evaluation,47004,masked,0.003,4,0.33883171689931146,0.69,0.0019246335109746424
evaluation,47004,masked,0.003,5,0.3194580423941073,0.74,0.0020454326890213125
evaluation,47004,masked,0.003,6,0.30418273293805054,0.77,0.002120177656963335
evaluation,47004,masked,0.003,7,0.2928830429070671,0.81,0.0021821365283638877
evaluation,47004,masked,0.003,8,0.28319042309644876,0.82,0.0022280219108312405
evaluation,47004,masked,0.003,9,0.2746298310056494,0.8533333333333334,0.0022865764063885745
evaluation,47004,masked,0.003,10,0.26690478850838123,0.8566666666666667,0.0023280228025952467
evaluation,47004,masked,0.003,11,0.260271477138209,0.8666666666666667,0.0023095411446646817
evaluation,47004,masked,0.003,12,0.2541748085654692,0.8666666666666667,0.0023239415843459613
evaluation,47004,masked,0.003,13,0.24928761050281978,0.8666666666666667,0.0022224140909157513
evaluation,47004,masked,0.003,14,0.2448207369470577,0.8733333333333333,0.002234210618374695
evaluation,47004,masked,0.003,15,0.24108894826509952,0.87,0.002239805476354407
evaluation,47004,masked,0.003,16,0.2376262353102542,0.8766666666666667,0.0023010228221195606
evaluation,47004,masked,0.003,17,0.23446489503227136,0.8766666666666667,0.0022436681821368563
evaluation,47004,masked,0.003,18,0.2314634689839104,0.8766666666666667,0.002229366668260537
evaluation,47004,masked,0.003,19,0.2287965726093095,0.8833333333333333,0.002177058746247057
evaluation,47004,masked,0.003,20,0.2265048177965635,0.89,0.0022048764707836787
