body_id,layer,module,sign,input_position,superclass,type,instance,soma_side,consensus_nt,nt_confidence
10231,0,visual_projection,1,0.58,visual_projection,LT1b,LT1b_R,R,acetylcholine,0.9571200381323993
10248,0,visual_projection,1,-0.58,visual_projection,LT1a,LT1a_L,L,acetylcholine,0.9555093423517654
10251,0,visual_projection,-1,-0.58,visual_projection,MeVP53,MeVP53_L,L,gaba,0.8682032858533574
10372,0,visual_projection,1,0.58,visual_projection,LT1d,LT1d_R,R,acetylcholine,0.9683836804109089
10398,0,visual_projection,1,-0.58,visual_projection,LT1d,LT1d_L,L,acetylcholine,0.954109442450193
10445,0,visual_projection,-1,-0.58,visual_projection,LT11,LT11_L,L,gaba,0.8630910501022659
10476,0,visual_projection,-1,0.58,visual_projection,LT11,LT11_R,R,gaba,0.8650708404046287
10480,0,visual_projection,-1,0.58,visual_projection,MeVP53,MeVP53_R,R,gaba,0.8648440398125334
10579,0,visual_projection,0,-0.58,visual_projection,MeVP51,MeVP51_L,L,glutamate,0.7042463037859354
10896,0,visual_projection,0,0.58,visual_projection,MeVP51,MeVP51_R,R,glutamate,0.7222555030927383
10936,0,visual_projection,1,-0.58,visual_projection,LT61b,LT61b_L,L,acetylcholine,0.9544682190516605
11055,0,visual_projection,1,0.58,visual_projection,LT62,LT62_R,R,acetylcholine,0.9627183937891342
12957,0,visual_projection,1,0.58,visual_projection,LT61b,LT61b_R,R,acetylcholine,0.9594598274111621
14833,0,visual_projection,0,-0.58,visual_projection,LT74,LT74_L,L,glutamate,0.6780314662864024
22435,0,visual_projection,1,0.58,visual_projection,LC17,LC17_R,R,acetylcholine,0.9188488356155672
22646,0,visual_projection,1,-0.58,visual_projection,LC17,LC17_L,L,acetylcholine,0.936602223695693
24994,0,visual_projection,1,-0.58,visual_projection,LC17,LC17_L,L,acetylcholine,0.9320031327009796
25013,0,visual_projection,1,-0.58,visual_projection,LC17,LC17_L,L,acetylcholine,0.9275648074692057
25423,0,visual_projection,1,0.58,visual_projection,LC17,LC17_R,R,acetylcholine,0.9484196810263149
25648,0,visual_projection,1,0.58,visual_projection,LC17,LC17_R,R,acetylcholine,0.9442495124178061
25742,0,visual_projection,1,0.58,visual_projection,LC17,LC17_R,R,acetylcholine,0.9261897494491275
25772,0,visual_projection,1,0.58,visual_projection,LC17,LC17_R,R,acetylcholine,0.9382933385236538
26349,0,visual_projection,1,0.58,visual_projection,LC17,LC17_R,R,acetylcholine,0.9458152953393445
26448,0,visual_projection,1,-0.58,visual_projection,LC17,LC17_L,L,acetylcholine,0.9353322578051458
26808,0,visual_projection,1,0.58,visual_projection,LC17,LC17_R,R,acetylcholine,0.9385439553743353
33650,0,visual_projection,1,0.58,visual_projection,LC17,LC17_R,R,acetylcholine,0.9396794893495821
34123,0,visual_projection,1,0.58,visual_projection,LC17,LC17_R,R,acetylcholine,0.9589215456282861
38591,0,visual_projection,1,-0.58,visual_projection,LC17,LC17_L,L,acetylcholine,0.9364398332023184
103072,0,visual_projection,1,-0.58,visual_projection,LC17,LC17_L,L,acetylcholine,0.9374779754882083
517329,0,visual_projection,1,-0.58,visual_projection,LC17,LC17_L,L,acetylcholine,0.9276523328612949
517374,0,visual_projection,1,-0.58,visual_projection,LC17,LC17_L,L,acetylcholine,0.9383728259934365
526395,0,visual_projection,1,-0.58,visual_projection,LC17,LC17_L,L,acetylcholine,0.9309564419323929
10172,1,central_brain_1,-1,,cb_intrinsic,AVLP080,AVLP080_L,L,gaba,0.8235094618624758
10224,1,central_brain_1,-1,,cb_intrinsic,AVLP001,AVLP001_L,L,gaba,0.8475016143194397
10241,1,central_brain_1,-1,,cb_intrinsic,AVLP001,AVLP001_R,R,gaba,0.8573102321500594
10353,1,central_brain_1,0,,cb_intrinsic,AVLP538,AVLP538_R,R,unclear,0.3534522629601059
10364,1,central_brain_1,1,,cb_intrinsic,PVLP061,PVLP061_L,L,acetylcholine,0.9674970507899243
10421,1,central_brain_1,-1,,cb_intrinsic,AVLP079,AVLP079_L,L,gaba,0.8351833961277573
