topology,method,seed,final_test_accuracy,best_test_accuracy,test_accuracy_auc,epochs_to_80pct,final_test_loss,gradient_cosine_before,gradient_cosine_after,runtime_seconds,num_edges
native,bp,0,1.0,1.0,0.7682291666666666,6,0.09239837527275085,1.0,1.000000238418579,0.3903243909999219,1001
native,pc,0,1.0,1.0,0.7701822916666666,6,0.09639713168144226,0.6543747782707214,0.6333971619606018,2.5710994640003264,1001
native,pcalm,0,1.0,1.0,0.7685546875,6,0.09874293953180313,0.6726479530334473,0.6513094305992126,3.1693331509995915,1001
degree_preserving,bp,0,1.0,1.0,0.8274739583333334,6,0.09447003901004791,1.0000001192092896,0.9999998211860657,0.3834402319998844,1001
degree_preserving,pc,0,1.0,1.0,0.8206380208333334,6,0.09661189466714859,0.7713169455528259,0.5626952648162842,2.4691411120011253,1001
degree_preserving,pcalm,0,1.0,1.0,0.8193359375,6,0.09735961258411407,0.7876478433609009,0.590363621711731,3.274031938000917,1001
random,bp,0,1.0,1.0,0.7340494791666666,9,0.12111690640449524,1.0,1.0000003576278687,0.3955596470004821,1001
random,pc,0,1.0,1.0,0.7483723958333334,9,0.12049031257629395,0.7349812984466553,0.69319748878479,2.3689133520001633,1001
random,pcalm,0,1.0,1.0,0.7473958333333334,9,0.12038213759660721,0.7469857335090637,0.713678777217865,3.1340893600008712,1001
native,bp,1,0.8046875,0.8046875,0.5833333333333334,12,0.19272184371948242,0.9999998211860657,1.0,0.4012179349992948,1001
native,pc,1,0.83203125,0.83203125,0.5856119791666666,11,0.1868096888065338,0.5702570676803589,0.7563810348510742,2.3771386570006143,1001
native,pcalm,1,0.83203125,0.83203125,0.5823567708333334,11,0.18774805963039398,0.5836983919143677,0.760691225528717,3.0831041170004028,1001
degree_preserving,bp,1,0.921875,0.921875,0.4915364583333333,12,0.19347892701625824,0.9999998807907104,1.0,0.3682052099993598,1001
degree_preserving,pc,1,1.0,1.0,0.5208333333333334,11,0.17535939812660217,0.6019569039344788,0.7047094702720642,2.519805030000498,1001
degree_preserving,pcalm,1,1.0,1.0,0.5185546875,11,0.1726512461900711,0.6237198114395142,0.7214546203613281,3.1298023809995357,1001
random,bp,1,1.0,1.0,0.5309244791666666,9,0.11507429927587509,1.0,0.9999998807907104,0.4202123669983848,1001
random,pc,1,1.0,1.0,0.5074869791666666,9,0.11289231479167938,0.7704445719718933,0.7051032185554504,2.464351949000047,1001
random,pcalm,1,1.0,1.0,0.5048828125,9,0.11375567317008972,0.7830744385719299,0.7191592454910278,3.1026296769996407,1001
native,bp,2,0.828125,0.828125,0.5712890625,12,0.16039466857910156,0.9999999403953552,0.9999998807907104,0.3555476420006016,1001
native,pc,2,0.8828125,0.8828125,0.5856119791666666,12,0.16395825147628784,0.48966142535209656,0.4456888735294342,2.2864516059999005,1001
native,pcalm,2,0.890625,0.890625,0.5872395833333334,12,0.16551335155963898,0.5188197493553162,0.46444281935691833,3.0359559150001587,1001
degree_preserving,bp,2,1.0,1.0,0.5660807291666666,9,0.1463336944580078,1.000000238418579,0.9999997615814209,0.40177362999929755,1001
degree_preserving,pc,2,1.0,1.0,0.5686848958333334,9,0.14869605004787445,0.6154747605323792,0.4518451690673828,2.3847437530002935,1001
degree_preserving,pcalm,2,1.0,1.0,0.5686848958333334,9,0.1497342884540558,0.6314091086387634,0.46548980474472046,3.2910426239996013,1001
random,bp,2,0.84765625,0.84765625,0.5123697916666666,12,0.20129017531871796,0.9999998211860657,1.0000001192092896,0.3765258840012393,1001
random,pc,2,0.83984375,0.83984375,0.50390625,12,0.20268169045448303,0.7425728440284729,0.49083200097084045,2.6344417330001306,1001
random,pcalm,2,0.84375,0.84375,0.5052083333333334,12,0.20237478613853455,0.7541208267211914,0.5012710094451904,3.151512164000451,1001
native,bp,3,0.984375,1.0,0.5989583333333334,8,0.14368417859077454,0.9999999403953552,1.0,0.3902630720003799,1001
native,pc,3,0.98828125,1.0,0.5930989583333334,8,0.16080506145954132,0.7096290588378906,0.4762677848339081,2.479562235999765,1001
native,pcalm,3,0.98828125,1.0,0.5914713541666666,8,0.1644715964794159,0.7297747135162354,0.5115532279014587,3.3182045849989663,1001
degree_preserving,bp,3,1.0,1.0,0.8160807291666666,5,0.10452044010162354,1.0,1.0,0.3938962129996071,1001
degree_preserving,pc,3,1.0,1.0,0.8199869791666666,5,0.10283565521240234,0.8098279237747192,0.5176149010658264,2.520138304000284,1001
degree_preserving,pcalm,3,1.0,1.0,0.8193359375,5,0.10382191091775894,0.8188170194625854,0.5458744764328003,3.233541370000239,1001
random,bp,3,1.0,1.0,0.7766927083333334,6,0.09377527981996536,1.0,1.0000001192092896,0.4071939969999221,1001
random,pc,3,1.0,1.0,0.7799479166666666,6,0.09132459759712219,0.8577895164489746,0.7525476217269897,2.505938297999819,1001
random,pcalm,3,1.0,1.0,0.77734375,6,0.09221603721380234,0.8640807271003723,0.7557743787765503,3.259254073998818,1001
native,bp,4,0.57421875,0.57421875,0.20540364583333334,,0.29974034428596497,1.0000001192092896,0.9999998807907104,0.3760530370000197,1001
native,pc,4,0.7890625,0.7890625,0.23893229166666666,,0.2820006012916565,0.5348337292671204,0.7609257102012634,2.3856060239995713,1001
native,pcalm,4,0.73828125,0.73828125,0.2314453125,,0.2846319377422333,0.5563607811927795,0.7799578905105591,3.1360607919996255,1001
degree_preserving,bp,4,0.55859375,0.55859375,0.333984375,,0.2845223844051361,1.0000001192092896,1.0000001192092896,0.4082352430013998,1001
degree_preserving,pc,4,0.68359375,0.68359375,0.3740234375,,0.26880505681037903,0.5817170143127441,0.6555283069610596,2.3924703630000295,1001
degree_preserving,pcalm,4,0.6796875,0.6796875,0.3743489583333333,,0.26873156428337097,0.6004935503005981,0.6726782321929932,3.1414872989989817,1001
random,bp,4,0.8828125,0.8828125,0.4078776041666667,11,0.2103518396615982,1.0,0.9999998807907104,0.4324429259995668,1001
random,pc,4,0.8515625,0.8515625,0.4007161458333333,12,0.21090441942214966,0.7090807557106018,0.6314284205436707,2.486930453000241,1001
random,pcalm,4,0.83984375,0.83984375,0.396484375,12,0.2124626785516739,0.7247750163078308,0.6496313810348511,3.121822314999008,1001
native,bp,5,0.94921875,0.94921875,0.6962890625,10,0.13273774087429047,1.0,1.0000001192092896,0.3332730279998941,1001
native,pc,5,0.921875,0.921875,0.6920572916666666,4,0.13587267696857452,0.5557975172996521,0.590044379234314,2.450568743999611,1001
native,pcalm,5,0.9140625,0.9140625,0.6897786458333334,4,0.13662466406822205,0.589327335357666,0.5893409848213196,2.9854312949992163,1001
degree_preserving,bp,5,1.0,1.0,0.5869140625,10,0.18686117231845856,1.000000238418579,0.9999999403953552,0.39584200299941585,1001
degree_preserving,pc,5,0.99609375,0.99609375,0.5520833333333334,10,0.1886778473854065,0.7898552417755127,0.5959919691085815,2.359039410999685,1001
degree_preserving,pcalm,5,0.984375,0.984375,0.5462239583333334,10,0.19072790443897247,0.7981610298156738,0.6144006848335266,3.2012627750009415,1001
random,bp,5,1.0,1.0,0.5891927083333334,9,0.1862485408782959,0.9999997615814209,1.0,0.42910684699927515,1001
random,pc,5,1.0,1.0,0.6126302083333334,9,0.1875608265399933,0.7233700752258301,0.6783333420753479,2.3632783410012053,1001
random,pcalm,5,1.0,1.0,0.6025390625,9,0.1894288808107376,0.7301262021064758,0.6855359673500061,3.1333037599997624,1001
native,bp,6,1.0,1.0,0.76171875,6,0.11661433428525925,1.0,1.000000238418579,0.40342023900120694,1001
native,pc,6,1.0,1.0,0.7692057291666666,6,0.11627683788537979,0.5804606080055237,0.6050620079040527,2.3807420500015724,1001
native,pcalm,6,1.0,1.0,0.7682291666666666,6,0.11726396530866623,0.6235926747322083,0.6184245347976685,3.158410594000088,1001
degree_preserving,bp,6,0.75,0.75,0.47265625,,0.2041020542383194,1.0,0.9999997019767761,0.36066023300008965,1001
degree_preserving,pc,6,0.75,0.75,0.5068359375,,0.19771406054496765,0.7918450236320496,0.5428251028060913,2.305417800000214,1001
degree_preserving,pcalm,6,0.74609375,0.74609375,0.49609375,,0.20307694375514984,0.8032646775245667,0.5654206275939941,3.086523350999414,1001
random,bp,6,1.0,1.0,0.8063151041666666,6,0.13672244548797607,1.0,0.9999998211860657,0.3816724959997373,1001
random,pc,6,1.0,1.0,0.8024088541666666,6,0.13593147695064545,0.6956023573875427,0.6651265025138855,2.3890556870010187,1001
random,pcalm,6,1.0,1.0,0.8020833333333334,6,0.13681337237358093,0.7046096324920654,0.6763418912887573,3.1072967660002178,1001
native,bp,7,1.0,1.0,0.6614583333333334,9,0.14052250981330872,0.9999998807907104,1.0,0.3450498379988858,1001
native,pc,7,0.9921875,1.0,0.6458333333333334,10,0.14242130517959595,0.673622727394104,0.6054553389549255,2.3772345409997797,1001
native,pcalm,7,0.9921875,1.0,0.6432291666666666,10,0.14328651130199432,0.6973427534103394,0.6233526468276978,3.24735824399977,1001
degree_preserving,bp,7,1.0,1.0,0.8323567708333334,6,0.07239066064357758,1.0,1.0,0.36478956599967205,1001
degree_preserving,pc,7,1.0,1.0,0.82421875,6,0.07204025983810425,0.7500893473625183,0.7059831619262695,2.3973756690011214,1001
degree_preserving,pcalm,7,1.0,1.0,0.8225911458333334,6,0.07268223911523819,0.7670055031776428,0.7234207391738892,3.1582181260000652,1001
random,bp,7,1.0,1.0,0.9059244791666666,3,0.07354715466499329,1.0,1.0,0.4305453069991927,1001
random,pc,7,1.0,1.0,0.9049479166666666,3,0.07177770137786865,0.8944167494773865,0.7233429551124573,2.578032990000793,1001
random,pcalm,7,1.0,1.0,0.9026692708333334,3,0.07211808860301971,0.8995758891105652,0.731280505657196,3.0407144149994565,1001
native,bp,8,1.0,1.0,0.7770182291666666,6,0.15254338085651398,1.0,0.9999999403953552,0.3908217419993889,1001
native,pc,8,1.0,1.0,0.7903645833333334,5,0.15420682728290558,0.7304083108901978,0.48197221755981445,2.3705123719992116,1001
native,pcalm,8,1.0,1.0,0.7893880208333334,5,0.15499605238437653,0.7386888861656189,0.5063416957855225,3.0594052220003505,1001
degree_preserving,bp,8,1.0,1.0,0.8531901041666666,5,0.09812185913324356,0.9999999403953552,1.0,0.37676976199873025,1001
degree_preserving,pc,8,1.0,1.0,0.8515625,5,0.09986499696969986,0.8291069269180298,0.5833966732025146,2.4007891960009147,1001
degree_preserving,pcalm,8,1.0,1.0,0.8515625,5,0.10080917179584503,0.8390049934387207,0.6020484566688538,3.0570934920015134,1001
random,bp,8,1.0,1.0,0.6946614583333334,9,0.15977127850055695,1.0,1.0000001192092896,0.45537876700109337,1001
random,pc,8,0.99609375,0.99609375,0.6910807291666666,9,0.16305379569530487,0.8258886337280273,0.4668249785900116,2.8133042920017033,1001
random,pcalm,8,0.99609375,0.99609375,0.689453125,9,0.1639133095741272,0.8323377370834351,0.47737181186676025,3.3037433990011777,1001
native,bp,9,1.0,1.0,0.5615234375,9,0.19469192624092102,1.0000001192092896,1.0,0.4173573500011116,1001
native,pc,9,1.0,1.0,0.5537109375,9,0.1880742758512497,0.5972011685371399,0.4993620216846466,2.4647197060003236,1001
native,pcalm,9,1.0,1.0,0.5432942708333334,9,0.19075468182563782,0.6168548464775085,0.5067510604858398,3.2414132239991886,1001
degree_preserving,bp,9,1.0,1.0,0.5986328125,12,0.13298875093460083,0.9999999403953552,1.0000001192092896,0.4579784939996898,1001
degree_preserving,pc,9,1.0,1.0,0.5921223958333334,12,0.1413995921611786,0.8278023600578308,0.5964412093162537,2.486578133999501,1001
degree_preserving,pcalm,9,1.0,1.0,0.5904947916666666,12,0.14593927562236786,0.835353672504425,0.6173514723777771,3.063026292998984,1001
random,bp,9,1.0,1.0,0.6253255208333334,6,0.19199343025684357,0.9999997615814209,0.9999998807907104,0.4925760700007231,1001
random,pc,9,1.0,1.0,0.6761067708333334,6,0.17407912015914917,0.6316962242126465,0.5642893314361572,2.500376623000193,1001
random,pcalm,9,1.0,1.0,0.6790364583333334,6,0.17376476526260376,0.6443091034889221,0.5845169425010681,3.030463080998743,1001
