seed,graph,method,epoch,validation_mse,residual
3100,forward,bp,1,0.500009805261336,0.0
3100,forward,bp,2,0.500030286094084,0.0
3100,forward,bp,3,0.500056680186521,0.0
3100,forward,bp,4,0.5000962444316392,0.0
3100,forward,bp,5,0.5001725133140333,0.0
3100,forward,bp,6,0.5002861091808629,0.0
3100,forward,bp,7,0.5004531361979632,0.0
3100,forward,bp,8,0.500720355403507,0.0
3100,forward,bp,9,0.5011371163699119,0.0
3100,forward,bp,10,0.5017962787507424,0.0
3100,forward,bp,11,0.5025399108398843,0.0
3100,forward,bp,12,0.5031546831601541,0.0
3100,forward,bp,13,0.5039956772961376,0.0
3100,forward,bp,14,0.5054133731948312,0.0
3100,forward,bp,15,0.5069932051769968,0.0
3100,forward,bp,16,0.5083270325001485,0.0
3100,forward,bp,17,0.509923170651882,0.0
3100,forward,bp,18,0.5117987502465795,0.0
3100,forward,bp,19,0.5141719620419529,0.0
3100,forward,bp,20,0.5155419283956822,0.0
3100,forward,pc,1,0.5000042008582211,0.0063809866632303595
3100,forward,pc,2,0.5000149910657219,0.0068873621794691585
3100,forward,pc,3,0.5000287780238257,0.007335221567894944
3100,forward,pc,4,0.500052216022521,0.007742127952083741
3100,forward,pc,5,0.5000968722681283,0.008264234637458451
3100,forward,pc,6,0.5001633345060211,0.008710285456768083
3100,forward,pc,7,0.5002538359520843,0.009100047758640985
3100,forward,pc,8,0.5004001212921104,0.009491275110359179
3100,forward,pc,9,0.5006546352392395,0.009867614045911114
3100,forward,pc,10,0.501061238517746,0.0102394542146754
3100,forward,pc,11,0.501538464726385,0.010501324127651994
3100,forward,pc,12,0.5018929305917549,0.010622956385382713
3100,forward,pc,13,0.5024686651586361,0.010890325808237808
3100,forward,pc,14,0.5033554305121715,0.011132450055366819
3100,forward,pc,15,0.5043035718835381,0.011218793874616804
3100,forward,pc,16,0.5049254070527018,0.011176292197399388
3100,forward,pc,17,0.5055714497385474,0.011299033873272019
3100,forward,pc,18,0.5061219788674554,0.011450239301568998
3100,forward,pc,19,0.5071905032171553,0.01158791448093525
3100,forward,pc,20,0.5082237141176467,0.011547447916973742
3100,forward,alm,1,0.5000046041220672,0.005610078400208372
3100,forward,alm,2,0.5000156317954002,0.00605274855440241
3100,forward,alm,3,0.5000298025024059,0.0064432597065785776
3100,forward,alm,4,0.5000544000743243,0.006796959155892519
3100,forward,alm,5,0.5001031227445285,0.007251219088265989
3100,forward,alm,6,0.5001753298558491,0.00763675719521855
3100,forward,alm,7,0.500275053894583,0.007971169641929161
